Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 1 (N) Cast A			1					66	gld	18	Act 1 (N) Equip A	15	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Magic A	7														0
Act 1 (N) Cast B			1					66	gld	18	Act 1 (N) Equip B	15	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Magic B	7														0
Act 1 (N) Cast C			1					66	gld	18	Act 1 (N) Equip B	15	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Magic B	7														0
Act 2 (N) Cast A			1					66	gld	18	Act 2 (N) Equip A	15	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Magic A	7														0
Act 2 (N) Cast B			1					66	gld	18	Act 2 (N) Equip B	15	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Magic B	7														0
Act 2 (N) Cast C			1					66	gld	18	Act 2 (N) Equip B	15	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Magic B	7														0
Act 3 (N) Cast A			1					66	gld	18	Act 3 (N) Equip A	15	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Magic A	7														0
Act 3 (N) Cast B			1					66	gld	18	Act 3 (N) Equip B	15	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Magic B	7														0
Act 3 (N) Cast C			1					66	gld	18	Act 3 (N) Equip B	15	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Magic B	7														0
Act 4 (N) Cast A			1					66	gld	18	Act 4 (N) Equip A	15	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Magic A	7														0
Act 4 (N) Cast B			1					66	gld	18	Act 4 (N) Equip B	15	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Magic B	7														0
Act 5 (N) Cast A			1					66	gld	18	Act 5 (N) Equip A	15	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Magic A	7														0
Act 5 (N) Cast B			1					66	gld	18	Act 5 (N) Equip B	15	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Magic B	7														0
Act 5 (N) Cast C			1					66	gld	18	Act 5 (N) Equip C	15	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Magic B	7														0
Act 1 (H) Cast A			1					66	gld	18	Act 1 (H) Equip A	15	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Magic A	7														0
Act 1 (H) Cast B			1					66	gld	18	Act 1 (H) Equip B	15	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Magic B	7														0
Act 1 (H) Cast C			1					66	gld	18	Act 1 (H) Equip B	15	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Magic B	7														0
Act 2 (H) Cast A			1					66	gld	18	Act 2 (H) Equip A	15	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Magic A	7														0
Act 2 (H) Cast B			1					66	gld	18	Act 2 (H) Equip B	15	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Magic B	7														0
Act 2 (H) Cast C			1					66	gld	18	Act 2 (H) Equip B	15	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Magic B	7														0
Act 3 (H) Cast A			1					66	gld	18	Act 3 (H) Equip A	15	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Magic A	7														0
Act 3 (H) Cast B			1					66	gld	18	Act 3 (H) Equip B	15	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Magic B	7														0
Act 3 (H) Cast C			1					66	gld	18	Act 3 (H) Equip B	15	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Magic B	7														0
Act 4 (H) Cast A			1					66	gld	18	Act 4 (H) Equip A	15	Act 1 (H) Junk	18	Act 4 (H) Good	2	Act 4 (H) Magic A	7														0
Act 4 (H) Cast B			1					66	gld	18	Act 4 (H) Equip B	15	Act 1 (H) Junk	18	Act 4 (H) Good	2	Act 4 (H) Magic B	7														0
Act 5 (H) Cast A			1					66	gld	18	Act 5 (H) Equip A	15	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Magic A	7														0
Act 5 (H) Cast B			1					66	gld	18	Act 5 (H) Equip B	15	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Magic B	7														0
Act 5 (H) Cast C			1					66	gld	18	Act 5 (H) Equip C	15	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Magic B	7														0
Act 1 Miss A			1					66	gld	18	Act 1 Equip A	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow A	6	Ammo	3												0
Act 1 Miss B			1					66	gld	18	Act 1 Equip B	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow B	6	Ammo	3												0
Act 1 Miss C			1					66	gld	18	Act 1 Equip C	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow C	6	Ammo	3												0
Act 2 Miss A			1					66	gld	18	Act 2 Equip A	13	Act 2 Junk	18	Act 2 Good	2	Act 2 Bow A	6	Ammo	3												0
Act 2 Miss B			1					66	gld	18	Act 2 Equip B	13	Act 2 Junk	18	Act 2 Good	2	Act 2 Bow B	6	Ammo	3												0
Act 2 Miss C			1					66	gld	18	Act 2 Equip C	13	Act 2 Junk	18	Act 3 Good	2	Act 2 Bow C	6	Ammo	3												0
Act 3 Miss A			1					66	gld	18	Act 3 Equip A	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow A	6	Ammo	3												0
Act 3 Miss B			1					66	gld	18	Act 3 Equip B	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow B	6	Ammo	3												0
Act 3 Miss C			1					66	gld	18	Act 3 Equip C	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow C	6	Ammo	3												0
Act 4 Miss A			1					66	gld	18	Act 4 Equip A	13	Act 4 Junk	18	Act 4 Good	2	Act 4 Bow A	6	Ammo	3												0
Act 4 Miss B			1					66	gld	18	Act 4 Equip B	13	Act 4 Junk	18	Act 4 Good	2	Act 4 Bow B	6	Ammo	3												0
Act 5 Miss A			1					66	gld	18	Act 5 Equip A	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow A	6	Ammo	3												0
Act 5 Miss B			1					66	gld	18	Act 5 Equip B	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow B	6	Ammo	3												0
Act 5 Miss C			1					66	gld	18	Act 5 Equip C	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow B	6	Ammo	3												0
Act 1 (N) Miss A			1					66	gld	18	Act 1 (N) Equip A	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow A	6	Ammo	3												0
Act 1 (N) Miss B			1					66	gld	18	Act 1 (N) Equip B	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3												0
Act 1 (N) Miss C			1					66	gld	18	Act 1 (N) Equip B	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3												0
Act 2 (N) Miss A			1					66	gld	18	Act 2 (N) Equip A	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow A	6	Ammo	3												0
Act 2 (N) Miss B			1					66	gld	18	Act 2 (N) Equip B	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3												0
Act 2 (N) Miss C			1					66	gld	18	Act 2 (N) Equip B	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3												0
Act 3 (N) Miss A			1					66	gld	18	Act 3 (N) Equip A	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow A	6	Ammo	3												0
Act 3 (N) Miss B			1					66	gld	18	Act 3 (N) Equip B	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3												0
Act 3 (N) Miss C			1					66	gld	18	Act 3 (N) Equip B	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3												0
Act 4 (N) Miss A			1					66	gld	18	Act 4 (N) Equip A	13	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Bow A	6	Ammo	3												0
Act 4 (N) Miss B			1					66	gld	18	Act 4 (N) Equip B	13	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Bow B	6	Ammo	3												0
Act 5 (N) Miss A			1					66	gld	18	Act 5 (N) Equip A	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow A	6	Ammo	3												0
Act 5 (N) Miss B			1					66	gld	18	Act 5 (N) Equip B	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3												0
Act 5 (N) Miss C			1					66	gld	18	Act 5 (N) Equip C	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3												0
Act 1 (H) Miss A			1					66	gld	18	Act 1 (H) Equip A	13	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Bow A	6	Ammo	3												0
Act 1 (H) Miss B			1					66	gld	18	Act 1 (H) Equip B	13	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3												0
Act 1 (H) Miss C			1					66	gld	18	Act 1 (H) Equip B	13	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3												0
Act 2 (H) Miss A			1					66	gld	18	Act 2 (H) Equip A	13	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Bow A	6	Ammo	3												0
Act 2 (H) Miss B			1					66	gld	18	Act 2 (H) Equip B	13	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Bow B	6	Ammo	3												0
Act 2 (H) Miss C			1					66	gld	18	Act 2 (H) Equip B	13	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Bow B	6	Ammo	3												0
Act 3 (H) Miss A			1					66	gld	18	Act 3 (H) Equip A	13	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Bow A	6	Ammo	3												0
Act 3 (H) Miss B			1					66	gld	18	Act 3 (H) Equip B	13	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Bow B	6	Ammo	3												0
Act 3 (H) Miss C			1					66	gld	18	Act 3 (H) Equip B	13	Act 1 (H) Junk	18	Act 3 (H) Good	2	Act 3 (H) Bow B	6	Ammo	3												0
Act 4 (H) Miss A			1					66	gld	18	Act 4 (H) Equip A	13	Act 1 (H) Junk	18	Act 4 (H) Good	2	Act 4 (H) Bow A	6	Ammo	3												0
Act 4 (H) Miss B			1					66	gld	18	Act 4 (H) Equip B	13	Act 1 (H) Junk	18	Act 4 (H) Good	2	Act 4 (H) Bow B	6	Ammo	3												0
Act 5 (H) Miss A			1					66	gld	18	Act 5 (H) Equip A	13	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Bow A	6	Ammo	3												0
Act 5 (H) Miss B			1					66	gld	18	Act 5 (H) Equip B	13	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Bow B	6	Ammo	3												0
Act 5 (H) Miss C			1					66	gld	18	Act 5 (H) Equip C	13	Act 1 (H) Junk	18	Act 5 (H) Good	2	Act 5 (H) Bow B	6	Ammo	3												0
Act 1 Wraith A			1					50	Act 1 Good	4	Act 1 Magic A	25																				0
Act 1 Wraith B			1					50	Act 1 Good	4	Act 1 Magic B	25																				0
Act 1 Wraith C			1					50	Act 1 Good	4	Act 1 Magic C	25																				0
Act 2 Wraith A			1					50	Act 2 Good	4	Act 2 Magic A	25																				0
Act 2 Wraith B			1					50	Act 2 Good	4	Act 2 Magic B	25																				0
Act 2 Wraith C			1					50	Act 3 Good	4	Act 2 Magic C	25																				0
Act 3 Wraith A			1					50	Act 3 Good	4	Act 3 Magic A	25																				0
Act 3 Wraith B			1					50	Act 3 Good	4	Act 3 Magic B	25																				0
Act 3 Wraith C			1					50	Act 3 Good	4	Act 3 Magic C	25																				0
Act 4 Wraith A			1					50	Act 4 Good	4	Act 4 Magic A	25																				0
Act 4 Wraith B			1					50	Act 4 Good	4	Act 4 Magic B	25																				0
Act 5 Wraith A			1					50	Act 5 Good	4	Act 5 Magic A	25																				0
Act 5 Wraith B			1					50	Act 5 Good	4	Act 5 Magic B	25																				0
Act 5 Wraith C			1					50	Act 5 Good	4	Act 5 Magic C	25																				0
Act 1 (N) Wraith A			1					50	Act 1 (N) Good	4	Act 1 (N) Magic A	25																				0
Act 1 (N) Wraith B			1					50	Act 1 (N) Good	4	Act 1 (N) Magic B	25																				0
Act 1 (N) Wraith C			1					50	Act 1 (N) Good	4	Act 1 (N) Magic B	25																				0
Act 2 (N) Wraith A			1					50	Act 2 (N) Good	4	Act 2 (N) Magic A	25																				0
Act 2 (N) Wraith B			1					50	Act 2 (N) Good	4	Act 2 (N) Magic B	25																				0
Act 2 (N) Wraith C			1					50	Act 2 (N) Good	4	Act 2 (N) Magic B	25																				0
Act 3 (N) Wraith A			1					50	Act 3 (N) Good	4	Act 3 (N) Magic A	25																				0
Act 3 (N) Wraith B			1					50	Act 3 (N) Good	4	Act 3 (N) Magic B	25																				0
Act 3 (N) Wraith C			1					50	Act 3 (N) Good	4	Act 3 (N) Magic B	25																				0
Act 4 (N) Wraith A			1					50	Act 4 (N) Good	4	Act 4 (N) Magic A	25																				0
Act 4 (N) Wraith B			1					50	Act 4 (N) Good	4	Act 4 (N) Magic B	25																				0
Act 5 (N) Wraith A			1					50	Act 5 (N) Good	4	Act 5 (N) Magic A	25																				0
Act 5 (N) Wraith B			1					50	Act 5 (N) Good	4	Act 5 (N) Magic B	25																				0
Act 5 (N) Wraith C			1					50	Act 5 (N) Good	4	Act 5 (N) Magic C	25																				0
Act 1 (H) Wraith A			1					50	Act 1 (H) Good	4	Act 1 (H) Magic A	25																				0
Act 1 (H) Wraith B			1					50	Act 1 (H) Good	4	Act 1 (H) Magic B	25																				0
Act 1 (H) Wraith C			1					50	Act 1 (H) Good	4	Act 1 (H) Magic B	25																				0
Act 2 (H) Wraith A			1					50	Act 2 (H) Good	4	Act 2 (H) Magic A	25																				0
Act 2 (H) Wraith B			1					50	Act 2 (H) Good	4	Act 2 (H) Magic B	25																				0
Act 2 (H) Wraith C			1					50	Act 2 (H) Good	4	Act 2 (H) Magic B	25																				0
Act 3 (H) Wraith A			1					50	Act 3 (H) Good	4	Act 3 (H) Magic A	25																				0
Act 3 (H) Wraith B			1					50	Act 3 (H) Good	4	Act 3 (H) Magic B	25																				0
Act 3 (H) Wraith C			1					50	Act 3 (H) Good	4	Act 3 (H) Magic B	25																				0
Act 4 (H) Wraith A			1					50	Act 4 (H) Good	4	Act 4 (H) Magic A	25																				0
Act 4 (H) Wraith B			1					50	Act 4 (H) Good	4	Act 4 (H) Magic B	25																				0
Act 5 (H) Wraith A			1					50	Act 5 (H) Good	4	Act 5 (H) Magic A	25																				0
Act 5 (H) Wraith B			1					50	Act 5 (H) Good	4	Act 5 (H) Magic B	25																				0
Act 5 (H) Wraith C			1					50	Act 5 (H) Good	4	Act 5 (H) Magic C	25																				0
Act 1 Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 Equip A	37	Act 1 Good	3																		0
Act 1 Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 Equip B	37	Act 1 Good	3																		0
Act 1 Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 Equip C	37	Act 1 Good	3																		0
Act 2 Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 Equip A	37	Act 2 Good	3																		0
Act 2 Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 Equip B	37	Act 2 Good	3																		0
Act 2 Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 Equip C	37	Act 3 Good	3																		0
Act 3 Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 Equip A	37	Act 3 Good	3																		0
Act 3 Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 Equip B	37	Act 3 Good	3																		0
Act 3 Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 Equip C	37	Act 3 Good	3																		0
Act 4 Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 Equip A	37	Act 4 Good	3																		0
Act 4 Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 Equip B	37	Act 4 Good	3																		0
Act 5 Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 Equip A	37	Act 5 Good	3																		0
Act 5 Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 Equip B	37	Act 5 Good	3																		0
Act 5 Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 Equip C	37	Act 5 Good	3																		0
Act 1 (N) Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (N) Equip A	37	Act 1 (N) Good	3																		0
Act 1 (N) Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (N) Equip B	37	Act 1 (N) Good	3																		0
Act 1 (N) Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (N) Equip B	37	Act 1 (N) Good	3																		0
Act 2 (N) Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (N) Equip A	37	Act 2 (N) Good	3																		0
Act 2 (N) Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (N) Equip B	37	Act 2 (N) Good	3																		0
Act 2 (N) Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (N) Equip B	37	Act 2 (N) Good	3																		0
Act 3 (N) Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (N) Equip A	37	Act 3 (N) Good	3																		0
Act 3 (N) Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (N) Equip B	37	Act 3 (N) Good	3																		0
Act 3 (N) Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (N) Equip B	37	Act 3 (N) Good	3																		0
Act 4 (N) Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (N) Equip A	37	Act 4 (N) Good	3																		0
Act 4 (N) Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (N) Equip B	37	Act 4 (N) Good	3																		0
Act 5 (N) Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (N) Equip A	37	Act 5 (N) Good	3																		0
Act 5 (N) Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (N) Equip B	37	Act 5 (N) Good	3																		0
Act 5 (N) Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (N) Equip C	37	Act 5 (N) Good	3																		0
Act 1 (H) Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (H) Equip A	37	Act 1 (H) Good	3																		0
Act 1 (H) Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (H) Equip B	37	Act 1 (H) Good	3																		0
Act 1 (H) Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 1 (H) Equip B	37	Act 1 (H) Good	3																		0
Act 2 (H) Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (H) Equip A	37	Act 2 (H) Good	3																		0
Act 2 (H) Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (H) Equip B	37	Act 2 (H) Good	3																		0
Act 2 (H) Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 2 (H) Equip B	37	Act 2 (H) Good	3																		0
Act 3 (H) Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (H) Equip A	37	Act 3 (H) Good	3																		0
Act 3 (H) Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (H) Equip B	37	Act 3 (H) Good	3																		0
Act 3 (H) Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 3 (H) Equip B	37	Act 3 (H) Good	3																		0
Act 4 (H) Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (H) Equip A	37	Act 4 (H) Good	3																		0
Act 4 (H) Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 4 (H) Equip B	37	Act 4 (H) Good	3																		0
Act 5 (H) Citem A			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip A	37	Act 5 (H) Good	3																		0
Act 5 (H) Citem B			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip B	37	Act 5 (H) Good	3																		0
Act 5 (H) Citem C			1	800	800	800	1024	0	"gld,mul=1280"	60	Act 5 (H) Equip C	37	Act 5 (H) Good	3																		0
Act 1 Cpot A			2					0	Hpotion 1	1																						0
Act 1 Cpot B			2					0	Hpotion 1	1																						0
Act 1 Cpot C			2					0	Hpotion 1	1																						0
Act 2 Cpot A			2					0	Hpotion 2	1																						0
Act 2 Cpot B			2					0	Hpotion 2	1																						0
Act 2 Cpot C			2					0	Hpotion 2	1																						0
Act 3 Cpot A			2					0	Hpotion 3	1																						0
Act 3 Cpot B			2					0	Hpotion 3	1																						0
Act 3 Cpot C			2					0	Hpotion 3	1																						0
Act 4 Cpot A			2					0	Hpotion 3	1	Hpotion 4	2																				0
Act 4 Cpot B			2					0	Hpotion 3	1	Hpotion 4	2																				0
Act 5 Cpot A			2					0	Hpotion 4	1	Hpotion 5	2																				0
Act 5 Cpot B			2					0	Hpotion 4	1	Hpotion 5	2																				0
Act 5 Cpot C			2					0	Hpotion 4	1	Hpotion 5	2																				0
Act 1 (N) Cpot A			2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4																		0
Act 1 (N) Cpot B			2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7												0
Act 1 (N) Cpot C			2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7												0
Act 2 (N) Cpot A			2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7												0
Act 2 (N) Cpot B			2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7												0
Act 2 (N) Cpot C			2					0	Hpotion 4	1	Hpotion 5	2	Hpotion 6	4						7												0
Act 3 (N) Cpot A			2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 3 (N) Cpot B			2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 3 (N) Cpot C			2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 4 (N) Cpot A			2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 4 (N) Cpot B			2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (N) Cpot A			2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (N) Cpot B			2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (N) Cpot C			2					0	rvs	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 1 (H) Cpot A			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 1 (H) Cpot B			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 1 (H) Cpot C			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 2 (H) Cpot A			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 2 (H) Cpot B			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 2 (H) Cpot C			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 3 (H) Cpot A			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 3 (H) Cpot B			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 3 (H) Cpot C			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 4 (H) Cpot A			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 4 (H) Cpot B			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (H) Cpot A			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (H) Cpot B			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 5 (H) Cpot C			2					0	rvl	1	Hpotion 4	2	Hpotion 5	4	Hpotion 6	8				7												0
Act 1 Champ A			-2					0	Act 1 Citem A	1	Act 1 Cpot A	2																				0
Act 1 Champ B			-2					0	Act 1 Citem B	1	Act 1 Cpot B	1																				0
Act 1 Champ C			-2					0	Act 1 Citem C	1	Act 1 Cpot C	1																				0
Act 2 Champ A			-2					0	Act 2 Citem A	1	Act 2 Cpot A	1																				0
Act 2 Champ B			-2					0	Act 2 Citem B	1	Act 2 Cpot B	1																				0
Act 2 Champ C			-2					0	Act 2 Citem C	1	Act 2 Cpot C	1																				0
Act 3 Champ A			-2					0	Act 3 Citem A	1	Act 3 Cpot A	1																				0
Act 3 Champ B			-2					0	Act 3 Citem B	1	Act 3 Cpot B	1																				0
Act 3 Champ C			-2					0	Act 3 Citem C	1	Act 3 Cpot C	1																				0
Act 4 Champ A			-2					0	Act 4 Citem A	1	Act 4 Cpot A	1																				0
Act 4 Champ B			-2					0	Act 4 Citem B	1	Act 4 Cpot B	1																				0
Act 5 Champ A			-2					0	Act 5 Citem A	1	Act 5 Cpot A	1																				0
Act 5 Champ B			-2					0	Act 5 Citem B	1	Act 5 Cpot B	1																				0
Act 5 Champ C			-2					0	Act 5 Citem C	1	Act 5 Cpot C	1																				0
Act 1 (N) Champ A			-2					0	Act 1 (N) Citem A	1	Act 1 (N) Cpot A	2																				0
Act 1 (N) Champ B			-2					0	Act 1 (N) Citem B	1	Act 1 (N) Cpot B	2																				0
Act 1 (N) Champ C			-2					0	Act 1 (N) Citem C	1	Act 1 (N) Cpot C	2																				0
Act 2 (N) Champ A			-2					0	Act 2 (N) Citem A	1	Act 2 (N) Cpot A	2																				0
Act 2 (N) Champ B			-2					0	Act 2 (N) Citem B	1	Act 2 (N) Cpot B	2																				0
Act 2 (N) Champ C			-2					0	Act 2 (N) Citem C	1	Act 2 (N) Cpot C	2																				0
Act 3 (N) Champ A			-2					0	Act 3 (N) Citem A	1	Act 3 (N) Cpot A	2																				0
Act 3 (N) Champ B			-2					0	Act 3 (N) Citem B	1	Act 3 (N) Cpot B	2																				0
Act 3 (N) Champ C			-2					0	Act 3 (N) Citem C	1	Act 3 (N) Cpot C	2																				0
Act 4 (N) Champ A			-2					0	Act 4 (N) Citem A	1	Act 4 (N) Cpot A	2																				0
Act 4 (N) Champ B			-2					0	Act 4 (N) Citem B	1	Act 4 (N) Cpot B	2																				0
Act 4 (N) Champ C			-2					0	Act 4 (N) Citem B	1	Act 4 (N) Cpot B	2																				0
Act 5 (N) Champ A			-2					0	Act 5 (N) Citem A	1	Act 5 (N) Cpot A	2																				0
