Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword328	Mighty	1		weap								5		gcv	gcv	gcv	gcv	gcv		hit-skill	Amplify Damage	10	5																								 	0
Runeword329	Mighty	1		weap								5		gfv	gfv	gfv	gfv	gfv		hit-skill	Amplify Damage	11	5																								 	0
Runeword330	Mighty	1		weap								5		gsv	gsv	gsv	gsv	gsv		hit-skill	Amplify Damage	12	5																								 	0
Runeword331	Mighty	1		weap								5		gzv	gzv	gzv	gzv	gzv		hit-skill	Amplify Damage	13	5																								 	0
Runeword332	Mighty	1		weap								5		gpv	gpv	gpv	gpv	gpv		hit-skill	Amplify Damage	14	5																								 	0
Runeword333	Mighty	1		weap								5		gvb	gvb	gvb	gvb	gvb		hit-skill	Amplify Damage	16	5																								 	0
Runeword334	Mighty	1		weap								6		gcv	gcv	gcv	gcv	gcv	gcv	hit-skill	Amplify Damage	12	6																								 	0
Runeword335	Mighty	1		weap								6		gfv	gfv	gfv	gfv	gfv	gfv	hit-skill	Amplify Damage	13	6																								 	0
Runeword336	Mighty	1		weap								6		gsv	gsv	gsv	gsv	gsv	gsv	hit-skill	Amplify Damage	14	6																								 	0
Runeword337	Mighty	1		weap								6		gzv	gzv	gzv	gzv	gzv	gzv	hit-skill	Amplify Damage	15	6																								 	0
Runeword338	Mighty	1		weap								6		gpv	gpv	gpv	gpv	gpv	gpv	hit-skill	Amplify Damage	16	6																								 	0
Runeword339	Mighty	1		weap								6		gvb	gvb	gvb	gvb	gvb	gvb	hit-skill	Amplify Damage	18	6																								 	0
Runeword340	Mighty	1		shld	belt							1		gcv						gethit-skill	Weaken	2	1																								 	0
Runeword341	Mighty	1		shld	belt							1		gfv						gethit-skill	Weaken	3	1																								 	0
Runeword342	Mighty	1		shld	belt							1		gsv						gethit-skill	Weaken	4	1																								 	0
Runeword343	Mighty	1		shld	belt							1		gzv						gethit-skill	Weaken	5	1																								 	0
Runeword344	Mighty	1		shld	belt							1		gpv						gethit-skill	Weaken	6	1																								 	0
Runeword345	Mighty	1		shld	belt							1		gvb						gethit-skill	Weaken	8	1																								 	0
Runeword346	Mighty	1		shld	belt							2		gcv	gcv					gethit-skill	Weaken	4	2																								 	0
Runeword347	Mighty	1		shld	belt							2		gfv	gfv					gethit-skill	Weaken	5	2																								 	0
Runeword348	Mighty	1		shld	belt							2		gsv	gsv					gethit-skill	Weaken	6	2																								 	0
Runeword349	Mighty	1		shld	belt							2		gzv	gzv					gethit-skill	Weaken	7	2																								 	0
Runeword350	Mighty	1		shld	belt							2		gpv	gpv					gethit-skill	Weaken	8	2																								 	0
Runeword351	Mighty	1		shld	belt							2		gvb	gvb					gethit-skill	Weaken	10	2																								 	0
Runeword352	Mighty	1		shld								3		gcv	gcv	gcv				gethit-skill	Weaken	6	3																								 	0
Runeword353	Mighty	1		shld								3		gfv	gfv	gfv				gethit-skill	Weaken	7	3																								 	0
Runeword354	Mighty	1		shld								3		gsv	gsv	gsv				gethit-skill	Weaken	8	3																								 	0
Runeword355	Mighty	1		shld								3		gzv	gzv	gzv				gethit-skill	Weaken	9	3																								 	0
Runeword356	Mighty	1		shld								3		gpv	gpv	gpv				gethit-skill	Weaken	10	3																								 	0
Runeword357	Mighty	1		shld								3		gvb	gvb	gvb				gethit-skill	Weaken	12	3																								 	0
Runeword358	Mighty	1		shld								4		gcv	gcv	gcv	gcv			gethit-skill	Weaken	8	4																								 	0
Runeword359	Mighty	1		shld								4		gfv	gfv	gfv	gfv			gethit-skill	Weaken	9	4																								 	0
Runeword360	Mighty	1		shld								4		gsv	gsv	gsv	gsv			gethit-skill	Weaken	10	4																								 	0
Runeword361	Mighty	1		shld								4		gzv	gzv	gzv	gzv			gethit-skill	Weaken	11	4																								 	0
Runeword362	Mighty	1		shld								4		gpv	gpv	gpv	gpv			gethit-skill	Weaken	12	4																								 	0
Runeword363	Mighty	1		shld								4		gvb	gvb	gvb	gvb			gethit-skill	Weaken	14	4																								 	0
Runeword364	Poisonous	1		helm	tors	boot						1		gcg						gethit-skill	Poison Nova	2	1																								 	0
Runeword365	Poisonous	1		helm	tors	boot						1		gfg						gethit-skill	Poison Nova	3	1																								 	0
Runeword366	Poisonous	1		helm	tors	boot						1		gsg						gethit-skill	Poison Nova	4	1																								 	0
Runeword367	Poisonous	1		helm	tors	boot						1		glg						gethit-skill	Poison Nova	5	1																								 	0
Runeword368	Poisonous	1		helm	tors	boot						1		gpg						gethit-skill	Poison Nova	6	1																								 	0
Runeword369	Poisonous	1		helm	tors	boot						1		ggb						gethit-skill	Poison Nova	8	1																								 	0
Runeword370	Poisonous	1		helm	tors	boot						2		gcg	gcg					gethit-skill	Poison Nova	4	2																								 	0
Runeword371	Poisonous	1		helm	tors	boot						2		gfg	gfg					gethit-skill	Poison Nova	5	2																								 	0
Runeword372	Poisonous	1		helm	tors	boot						2		gsg	gsg					gethit-skill	Poison Nova	6	2																								 	0
Runeword373	Poisonous	1		helm	tors	boot						2		glg	glg					gethit-skill	Poison Nova	7	2																								 	0
Runeword374	Poisonous	1		helm	tors	boot						2		gpg	gpg					gethit-skill	Poison Nova	8	2																								 	0
Runeword375	Poisonous	1		helm	tors	boot						2		ggb	ggb					gethit-skill	Poison Nova	10	2																								 	0
Runeword376	Poisonous	1		helm	tors							3		gcg	gcg	gcg				gethit-skill	Poison Nova	6	3																								 	0
Runeword377	Poisonous	1		helm	tors							3		gfg	gfg	gfg				gethit-skill	Poison Nova	7	3																								 	0
Runeword378	Poisonous	1		helm	tors							3		gsg	gsg	gsg				gethit-skill	Poison Nova	8	3																								 	0
Runeword379	Poisonous	1		helm	tors							3		glg	glg	glg				gethit-skill	Poison Nova	9	3																								 	0
Runeword380	Poisonous	1		helm	tors							3		gpg	gpg	gpg				gethit-skill	Poison Nova	10	3																								 	0
Runeword381	Poisonous	1		helm	tors							3		ggb	ggb	ggb				gethit-skill	Poison Nova	12	3																								 	0
Runeword382	Poisonous	1		helm	tors							4		gcg	gcg	gcg	gcg			gethit-skill	Poison Nova	8	4																								 	0
Runeword383	Poisonous	1		helm	tors							4		gfg	gfg	gfg	gfg			gethit-skill	Poison Nova	9	4																								 	0
Runeword384	Poisonous	1		helm	tors							4		gsg	gsg	gsg	gsg			gethit-skill	Poison Nova	10	4																								 	0
Runeword385	Poisonous	1		helm	tors							4		glg	glg	glg	glg			gethit-skill	Poison Nova	11	4																								 	0
Runeword386	Poisonous	1		helm	tors							4		gpg	gpg	gpg	gpg			gethit-skill	Poison Nova	12	4																								 	0
Runeword387	Poisonous	1		helm	tors							4		ggb	ggb	ggb	ggb			gethit-skill	Poison Nova	14	4																								 	0
Runeword388	Poisonous	1		helm	tors							5		gcg	gcg	gcg	gcg	gcg		gethit-skill	Poison Nova	10	5																								 	0
Runeword389	Poisonous	1		helm	tors							5		gfg	gfg	gfg	gfg	gfg		gethit-skill	Poison Nova	11	5																								 	0
Runeword390	Poisonous	1		helm	tors							5		gsg	gsg	gsg	gsg	gsg		gethit-skill	Poison Nova	12	5																								 	0
Runeword391	Poisonous	1		helm	tors							5		glg	glg	glg	glg	glg		gethit-skill	Poison Nova	13	5																								 	0
Runeword392	Poisonous	1		helm	tors							5		gpg	gpg	gpg	gpg	gpg		gethit-skill	Poison Nova	14	5																								 	0
Runeword393	Poisonous	1		helm	tors							5		ggb	ggb	ggb	ggb	ggb		gethit-skill	Poison Nova	16	5																								 	0
Runeword394	Poisonous	1		helm	tors							6		gcg	gcg	gcg	gcg	gcg	gcg	gethit-skill	Poison Nova	12	6																								 	0
Runeword395	Poisonous	1		helm	tors							6		gfg	gfg	gfg	gfg	gfg	gfg	gethit-skill	Poison Nova	13	6																								 	0
Runeword396	Poisonous	1		helm	tors							6		gsg	gsg	gsg	gsg	gsg	gsg	gethit-skill	Poison Nova	14	6																								 	0
Runeword397	Poisonous	1		helm	tors							6		glg	glg	glg	glg	glg	glg	gethit-skill	Poison Nova	15	6																								 	0
Runeword398	Poisonous	1		helm	tors							6		gpg	gpg	gpg	gpg	gpg	gpg	gethit-skill	Poison Nova	16	6																								 	0
Runeword399	Poisonous	1		helm	tors							6		ggb	ggb	ggb	ggb	ggb	ggb	gethit-skill	Poison Nova	18	6																								 	0
Runeword400	Poisonous	1		weap	glov							1		gcg						hit-skill	Poison Nova	2	1																								 	0
Runeword401	Poisonous	1		weap	glov							1		gfg						hit-skill	Poison Nova	3	1																								 	0
Runeword402	Poisonous	1		weap	glov							1		gsg						hit-skill	Poison Nova	4	1																								 	0
Runeword403	Poisonous	1		weap	glov							1		glg						hit-skill	Poison Nova	5	1																								 	0
Runeword404	Poisonous	1		weap	glov							1		gpg						hit-skill	Poison Nova	6	1																								 	0
Runeword405	Poisonous	1		weap	glov							1		ggb						hit-skill	Poison Nova	8	1																								 	0
Runeword406	Poisonous	1		weap	glov							2		gcg	gcg					hit-skill	Poison Nova	4	2																								 	0
Runeword407	Poisonous	1		weap	glov							2		gfg	gfg					hit-skill	Poison Nova	5	2																								 	0
Runeword408	Poisonous	1		weap	glov							2		gsg	gsg					hit-skill	Poison Nova	6	2																								 	0
Runeword409	Poisonous	1		weap	glov							2		glg	glg					hit-skill	Poison Nova	7	2																								 	0
Runeword410	Poisonous	1		weap	glov							2		gpg	gpg					hit-skill	Poison Nova	8	2																								 	0
Runeword411	Poisonous	1		weap	glov							2		ggb	ggb					hit-skill	Poison Nova	10	2																								 	0
Runeword412	Poisonous	1		weap								3		gcg	gcg	gcg				hit-skill	Poison Nova	6	3																								 	0
Runeword413	Poisonous	1		weap								3		gfg	gfg	gfg				hit-skill	Poison Nova	7	3																								 	0
Runeword414	Poisonous	1		weap								3		gsg	gsg	gsg				hit-skill	Poison Nova	8	3																								 	0
Runeword415	Poisonous	1		weap								3		glg	glg	glg				hit-skill	Poison Nova	9	3																								 	0
Runeword416	Poisonous	1		weap								3		gpg	gpg	gpg				hit-skill	Poison Nova	10	3																								 	0
Runeword417	Poisonous	1		weap								3		ggb	ggb	ggb				hit-skill	Poison Nova	12	3																								 	0
Runeword418	Poisonous	1		weap								4		gcg	gcg	gcg	gcg			hit-skill	Poison Nova	8	4																								 	0
Runeword419	Poisonous	1		weap								4		gfg	gfg	gfg	gfg			hit-skill	Poison Nova	9	4																								 	0
Runeword420	Poisonous	1		weap								4		gsg	gsg	gsg	gsg			hit-skill	Poison Nova	10	4																								 	0
Runeword421	Poisonous	1		weap								4		glg	glg	glg	glg			hit-skill	Poison Nova	11	4																								 	0
Runeword422	Poisonous	1		weap								4		gpg	gpg	gpg	gpg			hit-skill	Poison Nova	12	4																								 	0
Runeword423	Poisonous	1		weap								4		ggb	ggb	ggb	ggb			hit-skill	Poison Nova	14	4																								 	0
Runeword424	Poisonous	1		weap								5		gcg	gcg	gcg	gcg	gcg		hit-skill	Poison Nova	10	5																								 	0
Runeword425	Poisonous	1		weap								5		gfg	gfg	gfg	gfg	gfg		hit-skill	Poison Nova	11	5																								 	0
Runeword426	Poisonous	1		weap								5		gsg	gsg	gsg	gsg	gsg		hit-skill	Poison Nova	12	5																								 	0
Runeword427	Poisonous	1		weap								5		glg	glg	glg	glg	glg		hit-skill	Poison Nova	13	5																								 	0
Runeword428	Poisonous	1		weap								5		gpg	gpg	gpg	gpg	gpg		hit-skill	Poison Nova	14	5																								 	0
Runeword429	Poisonous	1		weap								5		ggb	ggb	ggb	ggb	ggb		hit-skill	Poison Nova	16	5																								 	0
Runeword430	Poisonous	1		weap								6		gcg	gcg	gcg	gcg	gcg	gcg	hit-skill	Poison Nova	12	6																								 	0
Runeword431	Poisonous	1		weap								6		gfg	gfg	gfg	gfg	gfg	gfg	hit-skill	Poison Nova	13	6																								 	0
Runeword432	Poisonous	1		weap								6		gsg	gsg	gsg	gsg	gsg	gsg	hit-skill	Poison Nova	14	6																								 	0
Runeword433	Poisonous	1		weap								6		glg	glg	glg	glg	glg	glg	hit-skill	Poison Nova	15	6																								 	0
Runeword434	Poisonous	1		weap								6		gpg	gpg	gpg	gpg	gpg	gpg	hit-skill	Poison Nova	16	6																								 	0
Runeword435	Poisonous	1		weap								6		ggb	ggb	ggb	ggb	ggb	ggb	hit-skill	Poison Nova	18	6																								 	0
Runeword436	Poisonous	1		shld	belt							1		gcg						gethit-skill	Poison Nova	2	1																								 	0
Runeword437	Poisonous	1		shld	belt							1		gfg						gethit-skill	Poison Nova	3	1																								 	0
Runeword438	Poisonous	1		shld	belt							1		gsg						gethit-skill	Poison Nova	4	1																								 	0
Runeword439	Poisonous	1		shld	belt							1		glg						gethit-skill	Poison Nova	5	1																								 	0
Runeword440	Poisonous	1		shld	belt							1		gpg						gethit-skill	Poison Nova	6	1																								 	0
Runeword441	Poisonous	1		shld	belt							1		ggb						gethit-skill	Poison Nova	8	1																								 	0
Runeword442	Poisonous	1		shld	belt							2		gcg	gcg					gethit-skill	Poison Nova	4	2																								 	0
Runeword443	Poisonous	1		shld	belt							2		gfg	gfg					gethit-skill	Poison Nova	5	2																								 	0
Runeword444	Poisonous	1		shld	belt							2		gsg	gsg					gethit-skill	Poison Nova	6	2																								 	0
Runeword445	Poisonous	1		shld	belt							2		glg	glg					gethit-skill	Poison Nova	7	2																								 	0
Runeword446	Poisonous	1		shld	belt							2		gpg	gpg					gethit-skill	Poison Nova	8	2																								 	0
Runeword447	Poisonous	1		shld	belt							2		ggb	ggb					gethit-skill	Poison Nova	10	2																								 	0
Runeword448	Poisonous	1		shld								3		gcg	gcg	gcg				gethit-skill	Poison Nova	6	3																								 	0
Runeword449	Poisonous	1		shld								3		gfg	gfg	gfg				gethit-skill	Poison Nova	7	3																								 	0
Runeword450	Poisonous	1		shld								3		gsg	gsg	gsg				gethit-skill	Poison Nova	8	3																								 	0
Runeword451	Poisonous	1		shld								3		glg	glg	glg				gethit-skill	Poison Nova	9	3																								 	0
Runeword452	Poisonous	1		shld								3		gpg	gpg	gpg				gethit-skill	Poison Nova	10	3																								 	0
Runeword453	Poisonous	1		shld								3		ggb	ggb	ggb				gethit-skill	Poison Nova	12	3																								 	0
Runeword454	Poisonous	1		shld								4		gcg	gcg	gcg	gcg			gethit-skill	Poison Nova	8	4																								 	0
Runeword455	Poisonous	1		shld								4		gfg	gfg	gfg	gfg			gethit-skill	Poison Nova	9	4																								 	0
Runeword456	Poisonous	1		shld								4		gsg	gsg	gsg	gsg			gethit-skill	Poison Nova	10	4																								 	0
Runeword457	Poisonous	1		shld								4		glg	glg	glg	glg			gethit-skill	Poison Nova	11	4																								 	0
Runeword458	Poisonous	1		shld								4		gpg	gpg	gpg	gpg			gethit-skill	Poison Nova	12	4																								 	0
Runeword459	Poisonous	1		shld								4		ggb	ggb	ggb	ggb			gethit-skill	Poison Nova	14	4																								 	0
Runeword460	Deadly	1		helm	tors	boot						1		gcr						gethit-skill	Iron Maiden	2	1																								 	0
Runeword461	Deadly	1		helm	tors	boot						1		gfr						gethit-skill	Iron Maiden	3	1																								 	0
Runeword462	Deadly	1		helm	tors	boot						1		gsr						gethit-skill	Iron Maiden	4	1																								 	0
Runeword463	Deadly	1		helm	tors	boot						1		glr						gethit-skill	Iron Maiden	5	1																								 	0
Runeword464	Deadly	1		helm	tors	boot						1		gpr						gethit-skill	Iron Maiden	6	1																								 	0
Runeword465	Deadly	1		helm	tors	boot						1		grb						gethit-skill	Iron Maiden	8	1																								 	0
Runeword466	Deadly	1		helm	tors	boot						2		gcr	gcr					gethit-skill	Iron Maiden	4	2																								 	0
Runeword467	Deadly	1		helm	tors	boot						2		gfr	gfr					gethit-skill	Iron Maiden	5	2																								 	0
Runeword468	Deadly	1		helm	tors	boot						2		gsr	gsr					gethit-skill	Iron Maiden	6	2																								 	0
Runeword469	Deadly	1		helm	tors	boot						2		glr	glr					gethit-skill	Iron Maiden	7	2																								 	0
Runeword470	Deadly	1		helm	tors	boot						2		gpr	gpr					gethit-skill	Iron Maiden	8	2																								 	0
Runeword471	Deadly	1		helm	tors	boot						2		grb	grb					gethit-skill	Iron Maiden	10	2																								 	0
Runeword472	Deadly	1		helm	tors							3		gcr	gcr	gcr				gethit-skill	Iron Maiden	6	3																								 	0
Runeword473	Deadly	1		helm	tors							3		gfr	gfr	gfr				gethit-skill	Iron Maiden	7	3																								 	0
Runeword474	Deadly	1		helm	tors							3		gsr	gsr	gsr				gethit-skill	Iron Maiden	8	3																								 	0
Runeword475	Deadly	1		helm	tors							3		glr	glr	glr				gethit-skill	Iron Maiden	9	3																								 	0
Runeword476	Deadly	1		helm	tors							3		gpr	gpr	gpr				gethit-skill	Iron Maiden	10	3																								 	0
Runeword477	Deadly	1		helm	tors							3		grb	grb	grb				gethit-skill	Iron Maiden	12	3																								 	0
Runeword478	Deadly	1		helm	tors							4		gcr	gcr	gcr	gcr			gethit-skill	Iron Maiden	8	4																								 	0
Runeword479	Deadly	1		helm	tors							4		gfr	gfr	gfr	gfr			gethit-skill	Iron Maiden	9	4																								 	0
Runeword480	Deadly	1		helm	tors							4		gsr	gsr	gsr	gsr			gethit-skill	Iron Maiden	10	4																								 	0
Runeword481	Deadly	1		helm	tors							4		glr	glr	glr	glr			gethit-skill	Iron Maiden	11	4																								 	0
Runeword482	Deadly	1		helm	tors							4		gpr	gpr	gpr	gpr			gethit-skill	Iron Maiden	12	4																								 	0
Runeword483	Deadly	1		helm	tors							4		grb	grb	grb	grb			gethit-skill	Iron Maiden	14	4																								 	0
Runeword484	Deadly	1		helm	tors							5		gcr	gcr	gcr	gcr	gcr		gethit-skill	Iron Maiden	10	5																								 	0
Runeword485	Deadly	1		helm	tors							5		gfr	gfr	gfr	gfr	gfr		gethit-skill	Iron Maiden	11	5																								 	0
Runeword486	Deadly	1		helm	tors							5		gsr	gsr	gsr	gsr	gsr		gethit-skill	Iron Maiden	12	5																								 	0
Runeword487	Deadly	1		helm	tors							5		glr	glr	glr	glr	glr		gethit-skill	Iron Maiden	13	5																								 	0
Runeword488	Deadly	1		helm	tors							5		gpr	gpr	gpr	gpr	gpr		gethit-skill	Iron Maiden	14	5																								 	0
Runeword489	Deadly	1		helm	tors							5		grb	grb	grb	grb	grb		gethit-skill	Iron Maiden	16	5																								 	0
Runeword490	Deadly	1		helm	tors							6		gcr	gcr	gcr	gcr	gcr	gcr	gethit-skill	Iron Maiden	12	6																								 	0
Runeword491	Deadly	1		helm	tors							6		gfr	gfr	gfr	gfr	gfr	gfr	gethit-skill	Iron Maiden	13	6																								 	0
Runeword492	Deadly	1		helm	tors							6		gsr	gsr	gsr	gsr	gsr	gsr	gethit-skill	Iron Maiden	14	6																								 	0
Runeword493	Deadly	1		helm	tors							6		glr	glr	glr	glr	glr	glr	gethit-skill	Iron Maiden	15	6																								 	0
Runeword494	Deadly	1		helm	tors							6		gpr	gpr	gpr	gpr	gpr	gpr	gethit-skill	Iron Maiden	16	6																								 	0
Runeword495	Deadly	1		helm	tors							6		grb	grb	grb	grb	grb	grb	gethit-skill	Iron Maiden	18	6																								 	0
Runeword496	Deadly	1		weap	glov							1		gcr						hit-skill	Iron Maiden	2	1																								 	0
Runeword497	Deadly	1		weap	glov							1		gfr						hit-skill	Iron Maiden	3	1																								 	0
Runeword498	Deadly	1		weap	glov							1		gsr						hit-skill	Iron Maiden	4	1																								 	0
Runeword499	Deadly	1		weap	glov							1		glr						hit-skill	Iron Maiden	5	1																								 	0
Runeword500	Deadly	1		weap	glov							1		gpr						hit-skill	Iron Maiden	6	1																								 	0
Runeword501	Deadly	1		weap	glov							1		grb						hit-skill	Iron Maiden	8	1																								 	0
Runeword502	Deadly	1		weap	glov							2		gcr	gcr					hit-skill	Iron Maiden	4	2																								 	0
Runeword503	Deadly	1		weap	glov							2		gfr	gfr					hit-skill	Iron Maiden	5	2																								 	0
Runeword504	Deadly	1		weap	glov							2		gsr	gsr					hit-skill	Iron Maiden	6	2																								 	0
Runeword505	Deadly	1		weap	glov							2		glr	glr					hit-skill	Iron Maiden	7	2																								 	0
Runeword506	Deadly	1		weap	glov							2		gpr	gpr					hit-skill	Iron Maiden	8	2																								 	0
Runeword507	Deadly	1		weap	glov							2		grb	grb					hit-skill	Iron Maiden	10	2																								 	0
Runeword508	Deadly	1		weap								3		gcr	gcr	gcr				hit-skill	Iron Maiden	6	3																								 	0
Runeword509	Deadly	1		weap								3		gfr	gfr	gfr				hit-skill	Iron Maiden	7	3																								 	0
Runeword510	Deadly	1		weap								3		gsr	gsr	gsr				hit-skill	Iron Maiden	8	3																								 	0
Runeword511	Deadly	1		weap								3		glr	glr	glr				hit-skill	Iron Maiden	9	3																								 	0
Runeword512	Deadly	1		weap								3		gpr	gpr	gpr				hit-skill	Iron Maiden	10	3																								 	0
Runeword513	Deadly	1		weap								3		grb	grb	grb				hit-skill	Iron Maiden	12	3																								 	0
Runeword514	Deadly	1		weap								4		gcr	gcr	gcr	gcr			hit-skill	Iron Maiden	8	4																								 	0
Runeword515	Deadly	1		weap								4		gfr	gfr	gfr	gfr			hit-skill	Iron Maiden	9	4																								 	0
Runeword516	Deadly	1		weap								4		gsr	gsr	gsr	gsr			hit-skill	Iron Maiden	10	4																								 	0
Runeword517	Deadly	1		weap								4		glr	glr	glr	glr			hit-skill	Iron Maiden	11	4																								 	0
Runeword518	Deadly	1		weap								4		gpr	gpr	gpr	gpr			hit-skill	Iron Maiden	12	4																								 	0
Runeword519	Deadly	1		weap								4		grb	grb	grb	grb			hit-skill	Iron Maiden	14	4																								 	0
Runeword520	Deadly	1		weap								5		gcr	gcr	gcr	gcr	gcr		hit-skill	Iron Maiden	10	5																								 	0
Runeword521	Deadly	1		weap								5		gfr	gfr	gfr	gfr	gfr		hit-skill	Iron Maiden	11	5																								 	0
Runeword522	Deadly	1		weap								5		gsr	gsr	gsr	gsr	gsr		hit-skill	Iron Maiden	12	5																								 	0
Runeword523	Deadly	1		weap								5		glr	glr	glr	glr	glr		hit-skill	Iron Maiden	13	5																								 	0
Runeword524	Deadly	1		weap								5		gpr	gpr	gpr	gpr	gpr		hit-skill	Iron Maiden	14	5																								 	0
Runeword525	Deadly	1		weap								5		grb	grb	grb	grb	grb		hit-skill	Iron Maiden	16	5																								 	0
Runeword526	Deadly	1		weap								6		gcr	gcr	gcr	gcr	gcr	gcr	hit-skill	Iron Maiden	12	6																								 	0
Runeword527	Deadly	1		weap								6		gfr	gfr	gfr	gfr	gfr	gfr	hit-skill	Iron Maiden	13	6																								 	0
Runeword528	Deadly	1		weap								6		gsr	gsr	gsr	gsr	gsr	gsr	hit-skill	Iron Maiden	14	6																								 	0
Runeword529	Deadly	1		weap								6		glr	glr	glr	glr	glr	glr	hit-skill	Iron Maiden	15	6																								 	0
Runeword530	Deadly	1		weap								6		gpr	gpr	gpr	gpr	gpr	gpr	hit-skill	Iron Maiden	16	6																								 	0
Runeword531	Deadly	1		weap								6		grb	grb	grb	grb	grb	grb	hit-skill	Iron Maiden	18	6																								 	0
Runeword532	Deadly	1		shld	belt							1		gcr						gethit-skill	Iron Maiden	2	1																								 	0
Runeword533	Deadly	1		shld	belt							1		gfr						gethit-skill	Iron Maiden	3	1																								 	0
Runeword534	Deadly	1		shld	belt							1		gsr						gethit-skill	Iron Maiden	4	1																								 	0
Runeword535	Deadly	1		shld	belt							1		glr						gethit-skill	Iron Maiden	5	1																								 	0
Runeword536	Deadly	1		shld	belt							1		gpr						gethit-skill	Iron Maiden	6	1																								 	0
Runeword537	Deadly	1		shld	belt							1		grb						gethit-skill	Iron Maiden	8	1																								 	0
Runeword538	Deadly	1		shld	belt							2		gcr	gcr					gethit-skill	Iron Maiden	4	2																								 	0
Runeword539	Deadly	1		shld	belt							2		gfr	gfr					gethit-skill	Iron Maiden	5	2																								 	0
Runeword540	Deadly	1		shld	belt							2		gsr	gsr					gethit-skill	Iron Maiden	6	2																								 	0
Runeword541	Deadly	1		shld	belt							2		glr	glr					gethit-skill	Iron Maiden	7	2																								 	0
Runeword542	Deadly	1		shld	belt							2		gpr	gpr					gethit-skill	Iron Maiden	8	2																								 	0
Runeword543	Deadly	1		shld	belt							2		grb	grb					gethit-skill	Iron Maiden	10	2																								 	0
Runeword544	Deadly	1		shld								3		gcr	gcr	gcr				gethit-skill	Iron Maiden	6	3																								 	0
Runeword545	Deadly	1		shld								3		gfr	gfr	gfr				gethit-skill	Iron Maiden	7	3																								 	0
Runeword546	Deadly	1		shld								3		gsr	gsr	gsr				gethit-skill	Iron Maiden	8	3																								 	0
Runeword547	Deadly	1		shld								3		glr	glr	glr				gethit-skill	Iron Maiden	9	3																								 	0
Runeword548	Deadly	1		shld								3		gpr	gpr	gpr				gethit-skill	Iron Maiden	10	3																								 	0
Runeword549	Deadly	1		shld								3		grb	grb	grb				gethit-skill	Iron Maiden	12	3																								 	0
Runeword550	Deadly	1		shld								4		gcr	gcr	gcr	gcr			gethit-skill	Iron Maiden	8	4																								 	0
Runeword551	Deadly	1		shld								4		gfr	gfr	gfr	gfr			gethit-skill	Iron Maiden	9	4																								 	0
Runeword552	Deadly	1		shld								4		gsr	gsr	gsr	gsr			gethit-skill	Iron Maiden	10	4																								 	0
Runeword553	Deadly	1		shld								4		glr	glr	glr	glr			gethit-skill	Iron Maiden	11	4																								 	0
Runeword554	Deadly	1		shld								4		gpr	gpr	gpr	gpr			gethit-skill	Iron Maiden	12	4																								 	0
Runeword555	Deadly	1		shld								4		grb	grb	grb	grb			gethit-skill	Iron Maiden	14	4																								 	0
Runeword556	Shocking	1		helm	tors	boot						1		gcy						gethit-skill	Chain Lightning	2	1																								 	0
Runeword557	Shocking	1		helm	tors	boot						1		gfy						gethit-skill	Chain Lightning	3	1																								 	0
Runeword558	Shocking	1		helm	tors	boot						1		gsy						gethit-skill	Chain Lightning	4	1																								 	0
Runeword559	Shocking	1		helm	tors	boot						1		gly						gethit-skill	Chain Lightning	5	1																								 	0
Runeword560	Shocking	1		helm	tors	boot						1		gpy						gethit-skill	Chain Lightning	6	1																								 	0
Runeword561	Shocking	1		helm	tors	boot						1		gyb						gethit-skill	Chain Lightning	8	1																								 	0
Runeword562	Shocking	1		helm	tors	boot						2		gcy	gcy					gethit-skill	Chain Lightning	4	2																								 	0
Runeword563	Shocking	1		helm	tors	boot						2		gfy	gfy					gethit-skill	Chain Lightning	5	2																								 	0
Runeword564	Shocking	1		helm	tors	boot						2		gsy	gsy					gethit-skill	Chain Lightning	6	2																								 	0
Runeword565	Shocking	1		helm	tors	boot						2		gly	gly					gethit-skill	Chain Lightning	7	2																								 	0
Runeword566	Shocking	1		helm	tors	boot						2		gpy	gpy					gethit-skill	Chain Lightning	8	2																								 	0
Runeword567	Shocking	1		helm	tors	boot						2		gyb	gyb					gethit-skill	Chain Lightning	10	2																								 	0
Runeword568	Shocking	1		helm	tors							3		gcy	gcy	gcy				gethit-skill	Chain Lightning	6	3																								 	0
Runeword569	Shocking	1		helm	tors							3		gfy	gfy	gfy				gethit-skill	Chain Lightning	7	3																								 	0
Runeword570	Shocking	1		helm	tors							3		gsy	gsy	gsy				gethit-skill	Chain Lightning	8	3																								 	0
Runeword571	Shocking	1		helm	tors							3		gly	gly	gly				gethit-skill	Chain Lightning	9	3																								 	0
Runeword572	Shocking	1		helm	tors							3		gpy	gpy	gpy				gethit-skill	Chain Lightning	10	3																								 	0
Runeword573	Shocking	1		helm	tors							3		gyb	gyb	gyb				gethit-skill	Chain Lightning	12	3																								 	0
