index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Celestial Avenger	0	1		1		49	41	9ls	Rune Sword			10	30000	whit	whit						pal		1	3	dmg-demon		200	300	dmg-undead		200	300	att-demon		150	300	att-undead		150	300	dmg-fire		48	96	light		5	5	dmg-fire/lvl	32			att-dem/lvl	4			att-und/lvl	4											0
Mithril Sword	0	1		1		50	42	9wd	Ancient Sword			11	35000	whit	whit						deadly		20	30	att%		200	200	ease		-40	-60	dmg%		40	120	swing2		30	50	dmg/lvl	13																											0
The Vampire	0	1		1		30	42	92h	Espadon			9	25000	blac	blac						lifesteal		10	30	manasteal		10	30	mana-kill		5	10	str/lvl	4			hp/lvl	16			red-dmg		4	8	regen		10	20																					0
Black Death	0	1		1		36	43	9cm	Dacian Falx			9	25000	blac	blac						dmg-pois	75	512	854	swing2		20	40	dmg-pois/lvl	40			res-pois-len		30	60	res-pois/lvl	8			reduce-ac		75	75	gethit-skill	Poison Nova	30	9																					0
Stone Brenner	0	1		1		43	44	9gs	Tusk Sword			10	30000	dgry	dgry						ac		100	200	ignore-ac		1	1	lifesteal		10	15	manasteal		5	10	noheal		1	1	bloody		1	1	swing2		20	40	ac/lvl	64			skill	Iron Skin	1	4	dmg/lvl	16											0
Jeldaria's Focus	0	1		1		49	45	9b9	Gothic Sword			10	30000	lred	lred						dmg%		50	150	fireskill		2	2	ease		-40	-60	cast3		20	40	dmg-fire		50	100	skill	Enchant	3	6	res-fire-max		25	25	res-fire		35	70	swing2		10	30	dmg/lvl	8											0
Inarius' Fall	0	1		1		54	46	9fb	Zweihander			11	35000	cred	cred						dmg-fire		25	50	str		20	30	dex		20	30	hp		30	60	swing2		20	40	dmg-fire/lvl	40			hp/lvl	8			str/lvl	2			dex/lvl	2															0
Terminus Est	0	1		1		55	48	9gd	Executioner Sword			11	35000	blac	blac						dmg%		50	150	ease		20	20	ignore-ac		1	1	deadly		50	100	dex/lvl	2			str/lvl	2			skill	Sword Mastery	1	3	dmg/lvl	8																			0
Slave Warrior's Edge	0	1		1		52	64	0ss	Gladiator Blade			11	35000	oran	oran						dmg%		125	200	dmg-ac		-50	-50	openwounds		50	50	swing2		30	30	move2		10	20	skilltab	9	1	2	skilltab	12	1	2																					0
Twinkle	0	1		1		57	65	0sm	Desert Sword			11	35000	bwht	bwht						dmg-min		18	18	dmg-undead		175	250	dmg-demon		175	250	light		3	5	deadly		50	50	att%		25	50	ac		200	200	dex		10	20	swing2		40	40	dmg%		50	100									0
Icing Death	0	1		1		62	66	0sb	Rapier			12	40000	whit	whit						pal		1	3	dmg-ltng		1	100	dmg-fire		35	60	dmg-cold	150	25	70	manasteal		3	4	lifesteal		3	4	regen		-10	-10	dmg-cold/lvl	32			dmg-fire/lvl	40			dmg-ltng/lvl	80											0
The Executioner's Blade	0	1		1		67	67	0fc	Okrist			12	40000	blac	blac						dmg%		100	175	dmg%/lvl	14			att/lvl	10			att		100	160	vit		15	25	light		-1	-3	str		5	10	dex/lvl	2			str/lvl	2			sock	3	3	3									0
Diamondedge	0	1		1		72	66	0cr	Jeweled Edge			13	45000	bwht	bwht						indestruct		1	1	ignore-ac		1	1	dmg%		125	225	dmg-undead		100	150	att-undead		150	250	res-ltng		50	50	dmg-ltng		20	170	dmg-ltng/lvl	16			dmg/lvl	16			swing2		15	15									0
Glacial Form	0	1		1		76	68	0bs	Viking Sword			13	45000	dblu	dblu						dmg%		80	170	dmg-cold	250	80	340	hit-skill	Glacial Spike	50	18	hit-skill	Frozen Orb	50	16	gethit-skill	Frost Nova	25	30																													0
Soul Singer	0	1		1		77	70	0ls	Arcane Sword			13	45000	blac	blac						regen		-30	-30	lifesteal			32	manasteal			24	mana-kill		3	9	str		6	12	enr		6	12	dmg%		80	165	att%		20	20	skilltab	14	1	2													0
Rome's Victory	0	1		1		78	72	0wd	Trojan Sword			13	45000	cgrn	cgrn						dmg%		150	280	ease		45	80	dmg-norm		35	35	swing2		40	40	dmg%/lvl	4																															0
Blade of Righteousness	0	1		1		55	74	02h	Judgement Blade			11	35000	bwht	bwht						allskills		1	2	pal		1	2	res-pois-len		100	100	skill	Conversion	8	8	swing2		20	20	dmg%		125	220																									0
Reins of Power	0	1		1		61	75	0cm	Titan's Dagger			12	40000	dblu	dblu						allskills		2	2	red-mag		10	15	dmg-mag		50	75	res-all-max		6	12	str		25	35	swing2		40	40	str/lvl	2			abs-mag%		20	40	dmg%		60	190													0
Mitsirugi's Aide	0	1		1		68	74	0gs	Lithe Blade			12	40000	dgrn	dgrn						swing3		60	60	dmg%		80	140	block		10	20	pal		2	2	dmg/lvl	20			att/lvl	8																											0
Blackened Blade of Arkanon	0	1		1		74	77	0b0	Dark Sword			13	45000	blac	blac						deadly		45	45	openwounds		60	60	slow		60	60	dmg-pois	250	256	512	att		150	200	att/lvl	6			dmg-pois/lvl	40			dmg%		115	205																	0
The Fires of Sunlight	0	1		1		81	81	0fb	Hellfire Sword			13	45000	cred	cred						res-fire		50	80	dmg-fire		190	720	light		6	8	hp		80	140	skill	Warmth	4	7	gethit-skill	Nova	20	19	dmg-fire/lvl	24			fireskill		2	4	ease		-25	-50													0
The Grandfather	0	1		1		84	86	0gd	Death Blade			13	45000	dgry	dgry						str		20	40	hp		50	130	att		250	250	swing2		30	30	freeze		3	3	dmg%/lvl	14			str/lvl	4			allskills		1	1	ease		-15	-15	dmg%		80	170									0
ES Daggers & Scythes																																																																					0
Yegg's Firedagger	0	1		1		2	4	dgr	Dagger			6	10000	dred	dred						res-fire		45	45	dmg-fire		5	15	dmg-demon		250	250	dmg-fire/lvl	32			att-skill	Fire Bolt	20	5																													0
Requier's Skill	0	1		1		10	11	dir	Dirk			7	15000	dgry	dgry						dmg%		90	180	allskills		1	1	block		25	25	block3		30	30	swing2		20	30	res-all		10	20																									0
The Golden Spike	0	1		1		19	19	kri	Kriss			7	15000	oran	oran						dmg-norm		15	20	att%		75	75	light-thorns		25	25	str		10	20	dmg-ltng/lvl	48			dmg-ltng		12	48																									0
Anguirel	0	1		1		28	25	bld	Blade			8	20000	dblu	dblu						cast3		30	30	res-all		20	20	att		150	150	mana		50	50	dmg-pois	50	256	512	dmg-pois/lvl	16			gethit-skill	Poison Nova	40	6																					0
The Touch of Death	0	1		1		37	29	syn	Dread Scythe			9	25000	lpur	lpur						nec		2	2	cast3		20	40	mana%		25	50	crush		75	100	skill	Poison Dagger	3	6	skilltab	6	1	1	skilltab	7	1	1																					0
Sirian's Infinite Knives	0	1		1		27	32	9dg	Poignard			8	20000	lgry	lgry						dmg%		50	150	throw		1	1	swing3		40	80	dmg/lvl	12																																			0
Trang'Oul's Claw	0	1		1		35	36	9di	Rondel			9	25000	dgry	dgry						res-pois-len		50	100	dmg%		100	150	light		-2	-2	att%		40	60	deadly		30	60	allskills		1	1	nec		2	2	dmg/lvl	10			crush		20	30													0
Wizardspike	0	1		1		44	38	9kr	Cinquedeas			10	30000	cblu	cblu						mana%		20	40	res-all		15	25	manasteal		50	75	mana-kill		4	12	dmg%		200	400	cast1			20																									0
Throatslitter	0	1		1		49	41	9bl	Stilleto			10	30000	blac	blac						ignore-ac		1	1	deadly		95	95	dmg-pois	75	172	343	openwounds		50	100	howl			84	swing2		20	40	dmg-pois/lvl	40			crush		30	60	move1		5	15													0
Death's Scythe	0	1		1		52	45	9sy	Doom Blade			11	35000	blac	blac						nec			4	ease		-20	-60	light		-2	-5	cast3		40	40	deadly		30	60	crush		20	40	openwounds		30	60	dmg-pois/lvl	40			noheal		1	1	dmg-pois	100	512	768									0
The Horn of Balor	0	1		1		52	60	0dg	Carved Bone			11	35000	dpur	dpur						dmg-fire		65	240	dmg-pois	75	206	615	dmg-ac		-25	-25	noheal		1	1	allskills		1	3	dmg-fire/lvl	48			dmg-pois/lvl	36																							0
Rathma's Blade	0	1		1		60	61	0di	Mithral Knife			12	40000	oran	oran						swing3		60	60	dmg-pois	175	586	586	nec		1	3	deadly		40	40	mana		25	50	skill	Poison Dagger	6	8	sock	2	2	2	dmg%		130	210																	0
Famine	0	1		1		69	65	0kr	Fang Knife			12	40000	blac	blac						regen		-8	-18	red-dmg		15	18	red-mag		10	13	lifesteal		20	25	manasteal		20	25	hit-skill	Decrepify	30	25	dmg%		300	300					ease		-10	-20													0
Mordenkainen's Dagger	0	1		1		76	69	0bl	Ancient Spike			13	45000	lgld	lgld						ac		200	200	block		15	15	sor		2	3	mana		45	65	skill	Enchant	5	12																													0
Blade of Corruption	0	1		1		75	71	0sy	Soul Destroyer			13	45000	blac	blac						deadly		60	60	demon-heal		5	10	mana-kill		5	10	str		10	20	hp%		18	30	mana%		18	30	nec		2	5	cast3		30	30	indestruct		1	1	res-all		25	48									0
ES Throwing Weapons																																																																					0
The Trainee's Shuriken	0	1		1		2	3	tkf	Throwing Knife			6	10000	dgry	dgry						dmg%		50	150	dmg-norm		5	10	manasteal		5	15	swing1		10	20	ass		1	1	skilltab	18	1	1																									0
The Lumberjack's Toy	0	1		1		7	5	tax	Throwing Axe			6	10000	dgld	dgld						dmg%		40	80	dmg-fire		2	10	str		5	15	hp		15	45	stack		50	50	swing3		20	40	dmg-fire/lvl	16																							0
The Surgeon	0	1		1		13	7	bkf	Balanced Knife			7	15000	lgry	lgry						openwounds		100	100	regen			20	deadly		50	50	hp/lvl	24			dmg-min		5	15	dmg-max		5	15																									0
The Miner	0	1		1		16	9	bal	Balanced Axe			7	15000	blac	blac						charged	126	10	15	res-pois-len		30	60	skill	Throwing Mastery	1	3	skill	Double Throw	1	3	dmg-pois	75	172	172	noheal		1	1	hp		10	30																					0
Hail of Bolts	0	1		1		1	1	jav	Javelin			6	10000	lgry	lgry						swing3		100	100	stack		50	100	lifesteal		2	2																																					0
LED	0	1		1		8	4	pil	Pilum			6	10000	cred	cred						dmg-norm		5	10	manasteal		3	9	regen-stam		25	75	light		2	2	skill	Power Strike	3	6																													0
Ric's Faith	0	1		1		14	9	ssp	Short Spear			7	15000	lgry	lgry						dmg%		50	150	swing3		20	40	knock		1	1	regen-stam		25	75	move2		10	30	balance3		20	40	skill	Lightning Bolt	2	4	pal		2	2	hit-skill	Chain Lightning	50	1													0
Free Lance	0	1		1		19	14	glv	Glaive			7	15000	whit	whit						ease		-100	-100	allskills		1	1	skilltab	2	1	1	str		5	15	vit		5	15	dmg-norm		1	15	rep-quant	10	10	10	stack		30	90																	0
Flying Impaler	0	1		1		25	19	tsp	Throwing Spear			8	20000	blac	blac						dmg-max		20	60	ignore-ac		1	1	pierce		50	50	skill	Impale	2	4	rep-quant	20	20	20																													0
Fluffy Rabbit's Hare-y Javelin	0	1		1		23	17	am5	Maiden Javelin			8	20000	cblu	cblu						dmg-cold/lvl	20			stack		250	250	swing2		10	30	rep-quant	10	10	10	cold-min		9	18	cold-max		25	50	cold-len		150	450																					0
Larzuk's Aim	0	1		1		24	20	bts	Tribal Spear			8	20000	dyel	dyel						att		75	150	swing2		20	40	deadly		20	40	skill	Double Throw	1	4	skill	Throwing Mastery	1	4	stack		100	100	rep-quant	10	10	10	bar		1	1																	0
Morgue	0	1		1		29	19	9tk	Battle Dart			8	20000	blac	blac						dmg%		100	200	nec		1	1	skilltab	8	1	3	mana/lvl	24			regen-mana		25	75																													0
Battle Hymn	0	1		1		34	22	9ta	Francisca			9	25000	lyel	lyel						skilltab	14	2	4	dmg/lvl	12			swing1		10	30	rep-quant	25	25	25	stack		50	50																													0
The Hurricane	0	1		1		39	25	9bk	War Dart			9	25000	whit	whit						move2		10	30	hit-skill	Tornado	25	15	ease		-40	-60	dmg%		80	160	dmg-norm		20	30	swing2		20	40																									0
Minotaur's Sidearm	0	1		1		41	25	9b8	Hurlbat			10	30000	dgry	dgry						dmg%		75	175	dmg-fire		10	25	str		20	30	vit		20	30	skill	Increased Speed	1	3	skill	Iron Skin	1	3	skill	Natural Resistance	1	3																					0
Gilded Spikes	0	1		1		28	25	9ja	War Javelin			8	20000	lgld	lgld						dmg-ltng		32	96	dmg-ltng/lvl	32			hit-skill	Chain Lightning	25	7	gold%		100	300	mag%/lvl	10			allskills		1	1	deadly		60	100	crush		20	60	swing3		30	50													0
Septic Needle	0	1		1		33	32	9pi	Great Pilum			9	25000	dgry	dgry						dmg%		100	200	dmg-min		15	30	enr		5	15	res-pois		25	75	slow		25	50	regen			20	howl			32	dmg-pois	150	256	512	skill	Plague Javelin	4	8	skill	Pierce	1	2									0
Revenant's Spear of the Vampyr	0	1		1		39	35	9s9	Simbilan			9	25000	blac	blac						dmg%		50	200	rep-quant	25	25	25	stack		60	60	manasteal		1	20	deadly		25	75	mana/lvl	8			hp/lvl	4			dmg-undead		150	300	mana-kill		4	6	att%		15	30									0
Futurebreeze	0	1		1		44	41	9gl	Spiculum			10	30000	whit	whit						hit-skill	Frozen Orb	25	15	gethit-skill	Teleport	10	1	swing3		30	60	dmg%		75	150	att%/lvl	20			dex		10	30	allskills		1	2	rep-quant	33	33	33	stack		100	100													0
Olympus Hand	0	1		1		50	46	9ts	Harpoon			11	35000	lyel	lyel						dmg%		100	200	hit-skill	Amplify Damage	30	2	swing3		20	40	dmg-fire		50	75	str		5	15	vit		5	15	res-fire		25	75	res-pois-len		50	100	stack		40	40	allskills		2	2									0
Titan's Revenge	0	1		1		50	42	ama	Ceremonial Javelin			11	35000	dred	dred						ama		1	2	skilltab	2	1	2	dmg%		150	200	move2		20	40	rep-quant	30			str		10	30	dex		10	30	lifesteal		5	9	dmg-norm		25	50	stack		60	60									0
Malah's Aid	0	1		1		48	40	9xb	Highland Javelin			10	30000	oran	oran						att-skill	Holy Bolt	50	9	swing2		20	40	hp		50	100	hp/lvl	12			regen		10	20	rep-quant	25	25	25	nofreeze		1	1	bar		1	3																	0
The Assassin's Stiletto	0	1		1		54	48	0tk	Throwing Dagger			11	35000	blac	blac						ass		1	2	skilltab	18	1	2	regen		10	30	regen-mana		25	75	res-all		20	40	gethit-skill	Poison Nova	50	13																									0
Dark Knight's Dread	0	1		1		56	42	0ta	Throwing Hatchet			11	35000	blac	blac						dmg%		200	400	skill	Throwing Mastery	2	6	skill	Double Throw	2	6	res-all		10	20	stack		100	100	swing2		20	40	dmg/lvl	8																							0
Unicorn's Horn	0	1		1		75	57	0bk	Balanced Dagger			13	45000	bwht	bwht						dmg%		200	300	dmg-ltng		1	100	dmg-cold		30	60	dmg-fire		50	100	indestruct		1	1	res-mag		50	100	rep-quant	50	50	50	mag%/lvl	24			cold-len		300	900													0
Hephasto's Last Project	0	1		1		80	60	0b6	Balanced Hatchet			13	45000	blac	blac						dmg/lvl	20			freeze		2	3	hit-skill	Iron Maiden	10	8	deadly		20	60	vit		20	30	skill	Throwing Mastery	2	4	pierce		10	30	stack		120	120																	0
The Opilus Apprentice	0	1		1		53	49	0ja	Ancient Shards			11	35000	lyel	lyel						dmg%		100	200	charged	66	30	2	swing2		10	30	freeze		3	3	vit		10	20	red-mag		6	12	allskills		1	2	stack		50	50	rep-quant	33	33	33													0
Olympian's Javelin	0	1		1		58	54	0pi	Dire Pilum			11	35000	lgld	lgld						dmg-norm		60	45	dmg/lvl	5			dex		20	30	str		10	20	swing3		30	50	move3		20	30	allskills		2	2																					0
Johan's Picket	0	1		1		64	60	0s9	Lissom Spear			12	40000	dgry	dgry						dmg%		100	200	gethit-skill	Bone Wall	20	10	swing3		20	40	lifesteal		6	10	manasteal		6	10	vit		10	30	res-fire		25	75	stack		50	50	rep-quant	50	50	50	skill	Vengeance	2	4									0
Rainbow Rocket	0	1		1		69	65	0gl	Ahab Spear			12	40000	oran	oran						dmg-cold	400	50	200	dmg-fire		50	400	dmg-ltng		1	1000	dmg-mag		50	200	dmg-pois	100	512	1024	stack		100	200	rep-quant	50	50	50	skilltab	2	1	3																	0
Moby's Demise	0	1		1		75	69	0ts	Whale Hunter			13	45000	lgry	lgry						dmg%		75	150	dmg-norm		20	40	lifesteal		9	15	res-cold		50	100	res-cold-max		10	20	stack		70	70	nofreeze		1	1	pierce		100	100	skill	Jab	3	6	slow		75	100									0
Zeus' Bolts	0	1		1		65	48	amf	MatriarchalJavelin			12	40000	bwht	bwht						skill	Lightning Fury	4	8	rep-quant	25	25	25	stack		70	70	swing3		20	40	dmg-ltng		64	128	res-all		10	20	res-ltng		20	50	dmg-ltng/lvl	48			str		10	30	hit-skill	Chain Lightning	50	15									0
Rising Sun	0	1		1		72	60	0xb	Mountain Clan Spear			13	45000	cred	cred						rep-quant	100	100	100	swing3		40	80	skill	Double Throw	3	6	howl			64	dmg%/time	3	1	300	dmg-fire		50	100	dmg-fire/lvl	32			nofreeze		1	1	dmg-fire/time	3	1	300													0
ES Spears																																																																					0
Supercharged Rod	0	1		1		5	8	spr	Spear			6	10000	dpur	dpur						light-thorns		25	25	dmg-ltng		16	32	ac		25	75	swing2		10	30	dmg-ltng/lvl	64			gethit-skill	Charged Bolt	40	5	ac/lvl	20																							0
Poseidon's Trident	0	1		1		10	12	tri	Trident			7	15000	oran	oran						ama		1	1	att		90	180	dmg-norm		30	30	dmg-cold		10	20	hit-skill	Glacial Spike	30	1	dmg-cold/lvl	48			charged	40	15	8	cold-len		150	450																	0
Forzan's Rage	0	1		1		16	17	brn	Brandistock			7	15000	whit	whit						dmg%		30	90	ama		1	1	ac		75	150	hp		20	40	swing2		10	20	dmg/lvl	16			deadly		40	80	crush		30	60																	0
Rogerio's Lance	0	1		1		21	22	spt	Spetum			8	20000	lred	lred						ama		1	1	red-dmg%		10	30	res-all		15	30	dmg-fire		10	35	swing2		20	40	dmg-fire/lvl	20			abs-fire%			10																					0
Rod of Zerae	100	1		1		18	11	am3	Maiden Spear			7	15000	lyel	lyel						gethit-skill	Static Field	19	8	dmg%		50	100	abs-ltng%			10	att-skill	Lightning	19	5	swing1			20	ama			1																									0
Uthuala's Crest	0	1		1		32	27	pik	Pike			9	25000	lgry	lgry						dmg%		30	90	ama		2	2	res-fire		45	45	att		120	240	swing2		20	40	hp		30	90	dmg/lvl	16																							0
Lance of Celestia	100	1		1		27	22	am4	Maiden Pike			8	20000	oran	oran						ama		2	2	res-all		10	30	str		7	14	dex		7	14	deadly		20	40	swing1			20	dmg%		50	150																					0
Zerae's Point	0	1		1		30	31	9sr	War Spear			9	25000	lyel	lyel						dmg%		150	300	ama		2	2	att		150	300	light		3	3	res-ltng		50	100	res-ltng-max		10	20	dmg-ltng		32	128	dmg-ltng/lvl	48			skill	Lightning Fury	2	4	skill	Charged Strike	2	4									0
Gift of the Sea	0	1		1		35	33	9tr	Fuscina			9	25000	cblu	cblu						res-cold		30	60	sock	3	3	3	freeze		2	2	cast3		20	40	half-freeze		1	1	red-mag		5	10	regen-mana		40	80	mag%			50	stupidity		1	1	swing2		10	30									0
Kaihlanna's Pride	0	1		1		41	35	9br	War Fork			10	30000	dgld	dgld						dmg%		100	300	knock		100	100	str		50	50	str/lvl	8																																			0
Tears of Pain	0	1		1		45	37	9st	Yari			10	30000	oran	oran						allskills		1	2	att%		15	30	noheal		1	1	howl		19	45	swing2		30	50	dmg/lvl	16			skilltab	2	1	3																					0
The Dragoon Shaft	100	1		1		43	32	am8	Ceremonial Spear			10	30000	dpur	dpur						move2		10	30	dmg%		100	150	skilltab	2	1	2	att-skill	Fire Ball	30	12	dmg-fire/lvl	48			fire-min		60	180	fire-max		180	360																					0
Illusionary Pain	0	1		1		47	39	9p9	Lance			10	30000	lpur	lpur						dmg-ltng		4	160	dmg-fire		5	75	dmg-cold		3	60	crush		20	40	att		100	200	openwounds		100	100	hit-skill	Chain Lightning	50	5	hit-skill	Glacial Spike	50	5	hit-skill	Fire Ball	50	6	att/lvl	4											0
Lycander's Flank	100	1		1		50	42	am9	Ceremonial Pike			11	35000	dgrn	dgrn						ama		1	2	skilltab	2	1	2	dmg%		150	200	swing2		15	45	ac%		10	30	str		10	30	vit		10	30	lifesteal		5	9	dmg-norm		25	50													0
Backbiter	0	1		1		55	70	0sr	Guisarme			11	35000	blac	blac						dmg%		100	200	deadly		25	100	crush		25	50	vit		15	30	dex		15	30	swing2		50	50																									0
Defense of Atlantis	0	1		1		60	72	0tr	Grapnel			12	40000	dblu	dblu						dmg%		200	275	ac		200	200	slow		33	33	cold-len		150	450	ac/lvl	80																															0
Dragon's Breath	0	1		1		66	74	0br	Dragon Spear			12	40000	cred	cred						att-skill	Lightning	50	14	att-skill	Fire Ball	50	16	att-skill	Glacial Spike	50	14	att-skill	Teeth	50	18	gethit-skill	Nova	50	10	gethit-skill	Frost Nova	50	14	gethit-skill	Static Field	50	12	gethit-skill	Poison Nova	25	14	swing2		20	20	dmg%		50	150									0
Storm Seeker	0	1		1		71	77	0st	Ranseur			13	45000	whit	whit						charged	57	30	10	charged	245	10	25	charged	249	10	20	charged	244	10	25	charged	53	10	25	res-all		45	45	dmg%		75	180	att		160	240	gethit-skill	Frost Nova	25	15													0
Lightfoot	100	1		1		61	45	amd	Matriarchal Spear			12	40000	lblu	lblu						skill	Dodge	4	5	skill	Avoid	3	4	skill	Evade	2	3	move3		20	40	ac-miss		150	250	swing3		20	40	dmg%		50	150	ama	2	1	2	ease		-50	-100													0
Rotting Splinter	0	1		1		82	86	0p0	Impaler			13	45000	dgrn	dgrn						openwounds		50	50	res-pois		75	75	dmg%		100	170	regen		-15	-20	att		200	200	swing2		40	40	dmg%/lvl	4			dmg-pois	250	256	512	dmg-pois/lvl	64			move1		10	20									0
Raiden's Staff	100	1		1		81	60	ame	Matriarchal Pike			13	45000	lyel	lyel						skill	Lightning Strike	5	10	gethit-skill	Static Field	40	20	hit-skill	Chain Lightning	40	10	ac-miss		250	250	skill	Slow Missiles	3	6	dmg-ltng		60	250	swing3		20	40	res-all		30	50	dmg%		100	200	crush		10	50									0
ES Polearms																																																																					0
Eron's Bardiche	0	1		1		4	8	bar	Bardiche			6	10000	blac	blac						dmg-min		7	7	dex		10	20	str		10	20	swing2		15	30	str/lvl	12			dex/lvl	12			dmg/lvl	8																							0
Lawful Arm	0	1		1		10	14	vou	Voulge			7	15000	cgrn	cgrn						dmg-pois	125	62	124	noheal		1	1	res-all		15	30	dmg-pois/lvl	48			pal		2	2	charged	119	1	10																									0
Blade of Oblivion	0	1		1		17	19	scy	Scythe			7	15000	dgry	dgry						nec		1	1	mana%		10	25	ac		50	100	mana		40	80	skilltab	8	1	3	mana/lvl	16			dmg-und/lvl	28																							0
Hewson's Poleaxe	0	1		1		23	25	pax	Poleaxe			8	20000	lblu	lblu						str		10	20	dex		10	20	vit		10	20	enr		10	20	openwounds		45	45	swing2		10	30	str/lvl	8			dex/lvl	8			vit/lvl	8			enr/lvl	8											0
Infidel's Rule	0	1		1		30	28	hal	Halberd			9	25000	dblu	dblu						dmg%		50	100	res-all-max		15	15	res-all		30	45	att		100	200	red-dmg		5	10	red-mag		4	8																									0
Eternal Rest	0	1		1		37	29	wsc	War Scythe			9	25000	lpur	lpur						nec		2	2	cast3		20	40	mana%		25	50	crush		75	100	skill	Poison Dagger	3	6	skilltab	6	1	1	skilltab	7	1	1																					0
Defender of the Highlands	0	1		1		29	41	9b7	Lochaber Axe			8	20000	cgrn	cgrn						dmg%		100	200	allskills		2	2	regen		20	30	ac		250	250	manasteal		3	9	knock		1	1	thorns/lvl	40			ac/lvl	40																			0
Bill of the Crane Shamans	0	1		1		35	42	9vo	Bill			9	25000	lgry	lgry						dmg%		100	300	bar		2	3	deadly		40	100	mana		50	100	knock		1	1	mana/lvl	8			manasteal		3	9	mana-kill		2	6	dru		2	3													0
Reaver of Darkness	0	1		1		42	42	9s8	Battle Scythe			10	30000	blac	blac						dmg%		100	100	ease		-50	-100	ignore-ac		1	1	manasteal		15	85	mana-kill		10	20	noheal		1	1	light		-6	-6	nec		3	3	dmg-mag		25	50	hit-skill	Life Tap	20	20									0
Partizan of Light	0	1		1		48	43	9pa	Partizan			10	30000	whit	whit						pal		2	4	light-thorns		30	30	stupidity		1	1	light		5	5	dmg-ltng		25	250	swing2		20	40	dmg-ltng/lvl	40			gethit-skill	Fist of the Heavens	30	11	hit-skill	Chain Lightning	30	11													0
The Will of Hatred	0	1		1		52	44	9h9	Bec-de-Corbin			11	35000	dpur	dpur						dmg-norm		12	20	manasteal		6	10	ease		10	20	att%		25	75	stupidity		1	1	noheal		1	1	swing2		10	30	deadly/lvl	8			dmg/lvl	16			hit-skill	Attract	75	20									0
Instrument of Destruction	0	1		1		52	45	9wc	Grim Scythe			11	35000	blac	blac						nec			4	ease		-20	-60	light		-2	-5	cast3		40	40	deadly		30	60	crush		20	40	openwounds		30	60	dmg-pois/lvl	40			noheal		1	1	dmg-pois	100	512	768									0
Call of the Guardian	0	1		1		54	65	0b7	Urgrosh			11	35000	dgld	dgld						dmg%		130	220	res-all		25	50	ac-hth		160	160	ac-miss		250	250	gethit-skill	Charged Bolt	35	26	mana		30	40	ac		300	600	balance2		20	30	swing3		30	40													0
Nine Lives Stealer	0	1		1		60	74	0vo	Pole Gauche			12	40000	cred	cred						lifesteal		90	90	manasteal		45	45	swing2		60	60	charged	82	9	9	charged	85	2	15	charged	124	1	13	charged	231	2	15																					0
Soul Reaver	0	1		1		67	61	0s8	Shadow Scythe			12	40000	whit	whit						hit-skill	Teeth	100	12	hit-skill	Bone Spirit	100	6	gethit-skill	Bone Armor	50	5	skill	Bone Wall	5	5	skill	Bone Prison	4	4	swing2		40	40	dmg-mag		50	50	skilltab	7	3	3																	0
Sultan's Conqueror	0	1		1		70	67	0pa	Royal Partizan			13	45000	lgld	lgld						light		3	3	hit-skill	Fist of the Heavens	35	17	swing1		10	10	knock		1	1	regen		30	30	charged	58	3	10	crush		65	65	deadly		85	85	dmg%		110	170													0
Almraizer	0	1		1		73	70	0h0	Guardian			13	45000	dgld	dgld						dmg%		100	195	att		125	125	knock		1	1	hit-skill	Chain Lightning	25	20	dmg%/lvl	12			att/lvl	5																											0
Eternal Reign	0	1		1		75	71	0wc	Death Reaper			13	45000	blac	blac						deadly		60	60	demon-heal		5	10	mana-kill		5	10	str		10	20	hp%		18	30	mana%		18	30	nec		2	5	cast3		30	30	indestruct		1	1	res-all		25	48									0
ES Staves & Sorc Blades																																																																					0
Zann Esu's Raiment	0	1		1		2	5	sst	Short Staff			6	10000	lgrn	lgrn						res-all		10	25	hp		10	30	mana		10	30	fireskill		2	2	hp/lvl	8			mana/lvl	16																											0
The Fradstik	0	1		1		9	9	lst	Long Staff			6	10000	cgrn	cgrn						fireskill		2	2	ac		45	90	cast2		10	30	thorns		20	40	thorns/lvl	24			ac/lvl	32			att-skill	Fire Ball	30	3																					0
Phenom's Rule	0	1		1		16	18	cst	Gnarled Staff			7	15000	lgry	lgry						sor		1	1	half-freeze		1	1	str		10	10	dex		10	10	vit		10	10	enr		10	10	str/lvl	8			dex/lvl	8			vit/lvl	8			enr/lvl	8											0
Morquan's Aura	0	1		1		23	21	bst	Battle Staff			8	20000	dred	dred						sor		1	1	res-fire		20	40	regen		10	20	red-dmg%		8	16	mana-kill		5	15	charged	125	1	2																									0
Yoyo's Sanity	0	1		1		30	28	wst	War Staff			9	25000	dyel	dyel						pierce		1	1	dmg-to-mana		20	40	sor		2	2	mana%		30	50	cast2		10	30	mana/lvl	16			sock	1	1	1																					0
Infinite Thought	0	1		1		37	31	mnb	Mana Blade			9	25000	cblu	cblu						regen-mana		80	80	sor		2	2	mana-kill		6	12	mana		30	60	manasteal		100	100	dmg%		100	500																									0
