index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Blood Baron	Kain's Means of Destruction	gsd	Great Sword	7	30	30	cred	cred						6	5000	2	dmg%		150	150	lifesteal		12	12	dmg/lvl	12																											mag%		50	50	swing1		20	20	deadly		50	50	crush		15	15	swing2		20	20	dmg%		50	50	abs-mag%		20	20	dmg/lvl	12											0
Kain's Fear	Kain's Means of Destruction	aar	Ancient Armor	7	30	30	blac	blac						6	5000	2	ac%		90	90	red-dmg%		15	15	fear		32	32																									ac		35	35	ac/lvl	40			red-dmg		10	10	red-mag		10	10	skill	Grim Ward	4	4	skill	Howl	5	5	ac%		150	150													0
Kain's Sentinel	Kain's Means of Destruction	gts	Gothic Shield	7	30	30	blac	blac						6	5000	2	ac		20	20	block2		20	20	ac-miss		150	150																									ac		30	30	ac/lvl	16			block		15	15	block1		15	15	red-dmg		10	10	red-mag		10	10	indestruct		1	1	res-all		10	10									0
Kain's Wings	Kain's Means of Destruction	hgl	Gauntlets	7	30	30	blac	blac						6	5000	2	move1		10	10	balance1		10	10	swing1		10	10	cast1		10	10																					move1		10	10	balance1		10	10	swing1		10	10	cast1		10	10	move3		30	30	balance3		30	30	swing3		30	30	cast3		30	30									0
Kain's Life	Kain's Means of Destruction	rin	Ring	7	30	30	cred	cred						6	5000	2	regen		15	15	hp		25	25	heal-kill		8	8																									hp		25	25	hp/lvl	12			vit		15	15	regen		15	15	aura	Redemption	1	1	levelreq		-16	-16	red-dmg		5	5	red-mag		5	5									0
Krakerag's Point	Krakerag's Rage	9fc	Tulwar	7	40	45	cblu	cblu						7	7500	2	dmg%		100	100	deadly		75	75	sock	3	3	3																									dex		30	30	dmg/lvl	12			dmg%		200	200	att/lvl	10																											0
Krakerag's Chestplate	Krakerag's Rage	xpl	Russet Armor	7	40	45	cblu	cblu	invaaru					7	7500	2	ac		500	500	sock	3	3	3	res-all		35	35																									move2		20	20	balance2		20	20	ac		100	100	ac/lvl	16																											0
Krakerag's Slay	Krakerag's Rage	9gs	Tusk Sword	7	40	45	cblu	cblu						7	7500	2	dmg%		100	100	crush		50	50	sock	3	3	3																									str		30	30	dmg/lvl	16			dmg%		225	225	att/lvl	8																											0
Darkshade's Haze	Darkshade's Ruin	ba9	Savage Helmet	7	50	60	blac	blac						7	7500	2	dmg-ac		-25	-25	light		-4	-4	noheal		1	1																									ac		60	60	ac/lvl	12			manasteal		9	9	lifesteal		9	9	hp		40	40	death-skill	Dim Vision	100	40	mana		40	40	att-skill	Ice Blast	10	14									0
Darkshade's Skewer	Darkshade's Ruin	9mt	Jagged Star	7	50	60	blac	blac						7	7500	2	dex		30	30	dmg-pois	200	410	410																													openwounds		50	50	lifesteal		6	6	dmg%		200	200	dmg/lvl	8			swing3		40	40					att-skill	Bone Spirit	10	11													0
Darkshade's Spined Sheath	Darkshade's Ruin	xhh	Thorned Armor	7	50	60	blac	blac						7	7500	2	ac%		186	186	thorns		500	500	gethit-skill	Teeth	7	10																									thorns		500	500	ac%		24	24	crush		20	20	thorns		500	500	res-all		15	15	thorns		500	500	vit		15	15	thorns		500	500									0
Darkshade's Evisceration	Darkshade's Ruin	9fl	Knout	7	50	60	blac	blac						7	7500	2	str		30	30	dmg-cold	200	80	320																													crush		40	40	manasteal		6	6	dmg%		200	200	dmg/lvl	12			swing2		30	30					oskill	Might	3	3													0
Darkshade's Binding	Darkshade's Ruin	zhb	War Belt	7	50	60	blac	blac						7	7500	2	ac		30	30	str		30	30	ac/lvl	8																											vit		20	20	red-dmg		6	6	balance2		25	25	dex		25	25	ac		30	30	ac/lvl	8			dmg-mag		40	120	res-mag		40	40									0
Sarevok's Malicious Stare	Sarevok's Sacrilege	bae	Conquerer Crown	7	60	75	blac	blac						8	10000	2	sock	2	2	2	dmg-ac		-35	-35	noheal		1	1																									att%		40	40	dex		35	35	skill	Natural Resistance	4	4	slow		50	50																									0
Sarevok's Master	Sarevok's Sacrilege	1gd	Death Blade (2h only)	7	60	75	blac	blac						8	10000	2	swing3		50	50	sock	3	3	3	skill	Sword Mastery	1	1																									dmg%		200	200	att%		20	20	att/lvl	15			dmg/lvl	16																											0
Sarevok's Savage Heart	Sarevok's Sacrilege	yld	Combat Plate	7	60	75	blac	blac						8	10000	2	ac%		115	115	balance3		40	40	regen		-5	-5																									hp%		18		hp/lvl	24			skill	Iron Skin	4	4	lifesteal		4	4																									0
Crown of the Northern Tribes	Hurja's Harmonic Rage	baf	Guardian Crown	7	60	75	lgld	lgld						8	10000	2	oskill	Might	2	2	str		40	40	sock	1	1	1																									bar		1	1	skilltab	12	1	1	ac%		300	300	att%		100	100																									0
Harrogath's Heirloom	Hurja's Harmonic Rage	ypl	Demon Fleece	7	60	75	lgld	lgld	invypls					8	10000	2	skill	Whirlwind	5	5	skill	Shout	5	5	skill	Leap Attack	5	5																									move3		30	30	res-all		20	20	red-dmg%		25	25	skilltab	12	3	3																									0
Worldstone Shard	Hurja's Harmonic Rage	brg	Barbaric Knuckle	7	60	75	lgld	lgld						8	10000	2	swing3		30	30	hit-skill	Fist of the Heavens	15	20	regen		25	25																									hp%		10	10	dmg%		20	20	ignore-ac		1	1	dmg%		30	30																									0
Paladin Sets (ES)																																																																																													0
Milabrega's Diadem-Pal	Milabrega's Regalia-Pal	cix	Circlet (ES only)	7	4	1	cblu	cblu						5	2500	2	hp		15	15	mana		15	15	ac/lvl	6																											pal		1	1	res-cold		20	20	dmg-undead		50	50	att-undead		100	100																									0
Milabrega's Rod-Pal	Milabrega's Regalia-Pal	scp	Scepter	7	4	1	dblu	dblu						5	2500	2	light		2	2	att		50	50	dmg/lvl	8																											att-skill	Holy Bolt	10	5	swing1		10	10	skilltab	10	1	1	att/lvl	6																											0
Milabrega's Orb-Pal	Milabrega's Regalia-Pal	pa1	Targe	7	4	1	dblu	dblu						5	2500	2	ac		15	15	block		10	10	red-dmg		3	3																									block1		10	10	hp		20	20	mag%		25	25	ac/lvl	8																											0
Tyrael's Halo	Tyrael's Sanctuary	fhl	Full Helm	7	15	16	bwht	bwht						6	5000	2	skill	Sanctuary	2	2	res-all		20	20	light		4	4																									ac		25	25	ac/lvl	8			enr		15	15	vit		15	15																									0
Tyrael's Virtue	Tyrael's Sanctuary	crs	Crystal Sword	7	15	16	bwht	bwht						6	5000	2	dmg%		200	200	indestruct		1	1	swing2		20	20																									att/lvl	10			dmg/lvl	16			hit-skill	Fist of the Heavens	10	3	pal		1	1																									0
Tyrael's Faith	Tyrael's Sanctuary	kit	Kite Shield	7	15	16	bwht	bwht						6	5000	2	red-dmg%		20	20	block		15	15	red-mag		6	6																									ac		25	25	ac/lvl	16			block2		20	20	thorns/lvl	24																											0
Anduin's Vision	Anduin's Honor	crn	Crown	7	30	30	cblu	cblu						6	5000	2	ac%		100	100	light		5	5	sock	2	2	2																									att		200	200	att/lvl	8			deadly		20	20	ac/lvl	16																											0
Anduin's Vanquisher	Anduin's Honor	whm	War Hammer	7	30	30	cblu	cblu						6	5000	2	pal		1	1	dmg%		200	200	swing2		20	20																									pal		1	1	dmg%		100	100	swing2		20	20	indestruct		1	1																									0
Anduin's Protector	Anduin's Honor	pa4	Aerin Shield	7	30	30	cblu	cblu						6	5000	2	res-all		30	30	dmg-to-mana		30	30	ac%		100	100																									light-thorns		200	200	ac/lvl	16			red-dmg		10	10	red-mag		10	10																									0
Malek's Sight	Malek's Charge	xrn	Grand Crown	7	40	45	blac	blac						7	7500	2	dmg-ac		-25	-25	abs-ltng%		20	20	sock	1	1	1																									abs-ltng%		10	10	ac%		60	60	abs-ltng%		10	10	ac%		65	65	abs-ltng%		10	10	att/lvl	15			att-skill	Chain Lightning	10	12	gethit-skill	Chain Lightning	10	12									0
Malek's Strike	Malek's Charge	pbe	Blessed Edge	7	40	45	blac	blac						7	7500	2	dmg%		200	200	crush		20	20	indestruct		1	1																									swing3		30	30	oskill	Sword Mastery	3	3	att%		20	20	att/lvl	16			dmg%		100	100	swing3		30	30	dmg%		200	200	att%		20	20									0
Malek's Pride	Malek's Charge	elv	Elven Chain	7	40	45	blac	blac						7	7500	2	ac%		200	200	cast2		20	20	move2		20	20																									ac		75	75	ac/lvl	16			res-all		10	10	ac%		100	100	red-dmg		12	12	red-mag		12	12	ac%		100	100	move1		10	10									0
Malek's Defense	Malek's Charge	xpk	Barbed Shield	7	40	45	blac	blac						7	7500	2	block		15	15	block3		30	30	balance3		30	30																									ac		40	40	ac/lvl	8			ac		40	40	ac/lvl	8			skill	Holy Shield	3	3	skill	Defiance	2	2	red-dmg		10	10	red-mag		8	8									0
Malek's Grip	Malek's Charge	irg	Iron Guards	7	40	45	blac	blac						7	7500	2	sock	1	1	1	ac%		100	100	ac/lvl	8																											str		25	25	dex		25	25	cast2		20	20	swing2		20	20	dmg%		20	20	ac/lvl	8			mag%		50	50	skill	Conviction	2	2									0
Lancelot's Prediction	Lancelot's Courage	9be	Divine Blade	7	50	60	cblu	cblu						7	7500	2	sock	3	3	3	dmg%		200	200	swing2		20	20																									lifesteal		9	9	manasteal		9	9	dmg%		200	200	ignore-ac		1	1																									0
Lancelot's Security	Lancelot's Courage	xul	Chaos Armor	7	50	60	cblu	cblu						7	7500	2	ac%		150	150	balance3		50	50	move3		30	30																									ac		250	250	ac/lvl	24			red-dmg%		18	18	regen		20	20																									0
Lancelot's Heraldic Lion	Lancelot's Courage	paa	Royal Shield	7	50	60	cblu	cblu						7	7500	2	ac%		100	100	vit		25	25	block3		40	40																									res-all		25	25	ac/lvl	16			res-all		25	25	indestruct		1	1																									0
Griffith's Stare	Griffith's Cunning	yhl	Gladiator Helm	7	60	60	whit	lgry	invgriffithhelm					8	10000	2	freeze		1	1	oskill	Terror	1	1	skill	Conversion	3	3																									move1		15	15	swing1		15	15	reduce-ac		25	25	death-skill	Terror	100	30	ac		25	25	ac/lvl	6																			0
Griffith's Charm	Griffith's Cunning	pam	Paladic Halo	7	60	60	cred	cred	invbehelit					8	10000	2	pal		1	1	regen		30	30	ac%		25	25																									heal-kill		15	15	mana-kill		15	15	lifesteal		6	6	manasteal		6	6	all-stats		10	10	pal		1	1																	0
Griffith's Parry	Griffith's Cunning	0sb	Rapier	7	60	60	whit	lgry						8	10000	2	ease		-100	-100	block		15	15	ac/lvl	16																											dmg-min		22	22	dmg/lvl	16			pal		1	1	skill	Concentration	4	4	swing2		25	25	dmg%		125	125																	0
Griffith's Protection	Griffith's Cunning	xth	Embossed Plate	7	60	60	whit	whit	invltp					8	10000	2	ac%		100	100	balance3		30	30	red-dmg%		18	18																									res-all		20	20	res-mag		20	20	res-pois-len		100	100	nofreeze		1	1	skilltab	11	1	1	move3		30	30																	0
Darien's Wit	Darien's Glory	ylm	Gladiator Helm	7	60	75	lgld	lgld	invfhlu					8	10000	2	sock	3	3	3	ease		-50	-50	res-all		20	20																									cast3		30	30	swing3		30	30	all-stats		20	20	ac%		40	40																									0
Darien's Faith	Darien's Glory	ycl	Dragon Scale	7	60	75	lgld	lgld						8	10000	2	sock	4	4	4	ease		-50	-50	ac%		200	200																									red-dmg%		20	20	res-all		20	20	vit		10	10	skill	Sanctuary	4	4																									0
Darien's Band	Darien's Glory	ahb	Girdle	7	60	75	lgld	lgld						8	10000	2	sock	1	1	1	ease		-50	-50	move3		40	40																									ac		40	40	ac/lvl	32			dex		20	20	balance2		20	20																									0
Sorceress Sets (ES)																																																																																													0
Arcanna's Sign-Sor	Arcanna's Tricks-Sor	au2	Amulet	7	4	1	cblu	lblu						5	2500	2	mana		15	15	cast1		15	15	res-fire		20	20																									sor		1	1	mag%		50	50	regen-mana		25	25	mana/lvl	8																											0
Arcanna's Deathwand-Sor	Arcanna's Tricks-Sor	sst	Short Staff	7	4	1	cblu	lblu						5	2500	2	skill	Fire Bolt	1	3	skill	Ice Bolt	1	3	skill	Charged Bolt	1	3	crush		25	25																					mana		15	15	mana/lvl	8			regen-mana		25	25	sor		1	1																									0
Arcanna's Flesh-Sor	Arcanna's Tricks-Sor	clk	Cloak	7	4	1	cblu	lblu						5	2500	2	light		2	2	red-dmg		3	3	ac		15	15																									ac		15	15	ac/lvl	8			enr		6	6	red-mag		2	2																									0
Tara's Vision	Tara's Calling	ci0	Circlet	7	15	16	cred	cred						6	5000	2	skill	Fire Ball	2	4	sock	2	2	2	cast1		10	10																									gethit-skill	Nova	10	4	enr		15	15	ac		15	15	ac/lvl	8			mana		25	25	mana/lvl	8																			0
Tara's Eye	Tara's Calling	ob3	Smoked Sphere	7	15	16	cred	cred						6	5000	2	cast2		20	20	sor		1	1	indestruct																												regen-mana		50	50	regen		17	17	mana%		15	15	hp%		15	15	att-skill	Fire Bolt	50	20	swing3		30	30																	0
Tara's Gown	Tara's Calling	rob	Robe	7	15	16	cred	cred						6	5000	2	move2		20	20	red-mag		6	6	red-dmg		8	8																									ac		25	25	ac/lvl	24			thorns		25	25	thorns/lvl	20			hp		40	40	hp/lvl	4																			0
Tara's Mirror	Tara's Calling	lrg	Large Shield	7	15	16	lyel	lyel						6	5000	2	light-thorns		75	75	gethit-skill	Static Field	10	2	res-all		10	10																									dmg-to-mana		50	50	regen-mana		25	25	gethit-skill	Dim Vision	5	3	light-thorns		25	25	ac		15	15	ac/lvl	20																			0
Naj's Puzzler	Naj's Mastery	wst	War Staff	7	30	30	cred	lred						6	5000	2	regen-mana		100	100	cast3		30	30	sor		1	1																									regen-mana		100	100	regen		30	30	sor		1	1	skilltab	3	1	1																									0
Naj's Light Plate	Naj's Mastery	ltp	Light Plate	7	30	30	cred	lred						6	5000	2	sor		2	2	res-all		20	20	dmg-to-mana		50	50																									mana		50	50	hp		50	50	ac		60	60	ac/lvl	48																											0
Naj's Fireward	Naj's Mastery	xlb	Demonhide Boots	7	30	30	cred	lred						6	5000	2	res-fire		80	80	res-fire-max		20	20	skill	Blaze	4	4																									move3		30	30	ac/lvl	8			abs-fire%		30	30	abs-fire/lvl	2																											0
Divada's Tiara	Divada's Trickery	xht	Ethereal Crown	7	40	45	cblu	dblu						7	7500	2	sor		1	1	red-mag		10	10	skilltab	5	2	2																									ac		25	25	ac/lvl	4			abs-cold%		30	30	half-freeze		1	1	oskill	Hurricane	3	3	oskill	Grim Ward	3	3																	0
Divada's Focus	Divada's Trickery	mnb	Mana Blade	7	40	45	cblu	dblu						7	7500	2	swing3		100	100	dmg%		400	400	move3		30	30	skill	Enchant	5	5																					mana%		25	25	hp%		25	25	block3		30	30	cast3		30	30	regen-mana		100	100	gethit-skill	Glacial Spike	60	12																	0
Divada's Shawl	Divada's Trickery	xrb	Mage Robe	7	40	45	cblu	dblu						7	7500	2	sock	3	3	3	regen-mana		60	60	regen		20	20																									mana-kill		10	10	heal-kill		10	10	mana-kill		10	10	heal-kill		10	10	ac		50	50	ac/lvl	40																			0
Divada's Screen	Divada's Trickery	xuc	Defender	7	40	45	cblu	dblu						7	7500	2	skill	Energy Shield	3	3	dmg-to-mana		50	50	gethit-skill	Frozen Orb	10	10																									ac		40	40	ac/lvl	32			block		20	20	block2		20	20	red-dmg		20	20	red-mag		20	20																	0
Raistlin's Glance	Raistlin's Salvation	ysk	Devil Mask	7	50	60	oran	oran						7	7500	2	ease		-50	-50	noheal		1	1	ac		50	50																									sor		1	1	ac/lvl	12			oskill	Amplify Damage	1	1	pierce-cold		15	15	pierce-fire		15	15	pierce-ltng		15	15																	0
Raistlin's Mark	Raistlin's Salvation	au2	Amulet	5	50	60	oran	oran						7	7500	2	sor		1	1	regen-mana		50	50	cast2		20	20																									regen-mana		100	100	mana-kill		5	5	dmg-to-mana		50	50	mana/lvl	8			sor		1	1	mana/lvl	8																			0
The Staff of the Magi	Raistlin's Salvation	1cs	Petrified Staff	7	50	60	oran	oran						7	7500	2	sock	1	1	1	skill	Enchant	10	10	cast2		20	20																									sor		2	2	oskill	Lower Resist	2	2	regen-mana		100	100	swing3		40	40	crush		95	95	ignore-ac		1	1																	0
Robes of the Arch-Magi	Raistlin's Salvation	xtp	Mage Plate	7	50	60	oran	oran						7	7500	2	skill	Chilling Armor	3	3	res-all		50	50	res-all-max		20	20																									ac		60	60	ac/lvl	48			ac		60	60	ac/lvl	48			res-mag		50	50																					0
Jade Star	Jade Accoutrement	sam	Socererer's Talisman	7	60	60	cgrn	cgrn						8	10000	2	sor		1	1	res-mag		25	25	res-pois-len		50	50																									res-all		15	15	res-all-max		5	5	gethit-skill	Poison Nova	10	16	oskill	Poison Explosion	14	14	cast2		20	20	mana%		20	20																	0
Jade Wrap	Jade Accoutrement	ylk	Enchanted Cloak	7	60	60	cgrn	cgrn						8	10000	2	ac%		200	200	move2		20	20	stam		40	40																									regen-stam		50	50	move2		20	20	balance3		40	40	cast2		20	20	skill	Energy Shield	4	4	dmg-to-mana		75	75																	0
Jade Crest	Jade Accoutrement	srn	Sorcerer's Band	7	60	60	cgrn	cgrn						8	10000	2	sor		1	1	enr		25	25	res-pois-len		75	75																									regen-mana		150	150	dmg-to-mana		75	75	kill-skill	Poison Explosion	10	14	oskill	Poison Nova	16	16	cast3		30	30	mag%		50	50																	0
Jade Slipper	Jade Accoutrement	xvb	Sharkskin Boots	7	60	60	cgrn	cgrn						8	10000	2	move1		15	15	ac		20	20	ac/lvl	16																											res-pois		60	60	res-pois-max		20	20	move1		15	15	cast1		15	15	hp%		20	20	regen-mana		120	120																	0
Arion's Eye	Arion's Augury	obc	Eldritch Orb	7	60	75	whit	whit						8	10000	2	light		5	5	mana		50	50	mana/lvl	20																											mana-kill		15	15	heal-kill		15	15	cast3		30	30	balance3		30	30																									0
Arion's Heart	Arion's Augury	yrb	Archmage Robe	7	60	75	cred	cred						8	10000	2	regen		20	20	hp		50	50	hp/lvl	8																											red-dmg		20	20	red-mag		20	20	ac		50	50	ac/lvl	40																											0
Arion's Hand	Arion's Augury	ylg	Spellcaster Gloves	7	60	75	oran	oran						8	10000	2	cast3		40	40	sock	2	2	2	hp		75	75																									res-all		10	10	regen-mana		100	100	mana-kill		15	15	heal-kill		15	15																									0
Druid Sets (ES)																																																																																													0
Hsaru's Iron Arm	Hsarus' Defense-Dru	shc	Shaman Club	7	4	1	cred	cred						5	2500	2	skill	Wearbear	1	3	red-dmg		4	4	crush		15	15																									vit		8	8	str		8	8	dmg-norm		6	12	dmg/lvl	8																											0
Hsarus' Iron Fist-Dru	Hsarus' Defense-Dru	buc	Buckler	7	4	1	cred	cred						5	2500	2	crush		15	15	dmg%		15	15	hp		15	15																									str		8	8	str/lvl	2			ac		10	10	ac/lvl	8																											0
Hsarus' Iron Heel-Dru	Hsarus' Defense-Dru	lbt	Boots	7	4	1	cred	cred						5	2500	2	deadly		20	20	move1		10	10	ac		5	5																									dru		1	1	move1		10	10	res-all		8	8	ac/lvl	8																											0
Blackwing's Will	Blackwing's Impudence	dr2	Hawk Helm	7	15	16	dblu	dblu						6	5000	2	dru		1	1	skill	Cyclone Armor	3	4	skill	Shape Shifting	2	3																									enr		10	10	regen-mana		45	45	ac		20	20	ac/lvl	16			dru		1	1	crush/lvl	4																			0
Blackwing's Force	Blackwing's Impudence	gis	Giant Sword	7	15	16	dblu	dblu						6	5000	2	dmg%		100	100	str		20	20	dmg-mag		20	25																									dmg%		100	100	swing2		20	20	dmg-mag		20	25	dmg/lvl	8			dmg-mag		40	50	indestruct		1	1																	0
Blackwing's Clench	Blackwing's Impudence	mgl	Chain Gloves	7	15	16	dblu	dblu						6	5000	2	dmg-cold	200	10	15	hit-skill	Glacial Spike	10	2	ac		8	8																									dmg-cold	200	5	10	dmg-cold/lvl	8			ac/lvl	4			dmg-cold/lvl	8			freeze		1	1	hit-skill	Frozen Orb	7	1																	0
Blackwing's IceWoven Strap	Blackwing's Impudence	mbl	Belt	6	15	16	dblu	dblu						6	5000	2	ac		35	35	res-cold		30	30	res-cold-max		10	10																									balance2		20	20	move2		20	20	att-skill	Ice Bolt	15	8	gethit-skill	Frost Nova	10	5	dmg-cold	200	10	15	dmg-cold/lvl	8																			0
Danarak's Spirit	Danarak's Divinity	dr4	Falcon Mask	7	30	30	lred	lred						6	5000	2	ac		75	75	enr		20	20	skilltab	16	2	2																									str		20	20	vit		15	15	regen-mana		100	100	regen		30	30																									0
Danarak's Mallet	Danarak's Divinity	mau	Maul	7	30	30	lred	lred						6	5000	2	dmg-fire		50	100	dmg-ltng		40	120	dmg-pois	502	102	204	dmg-cold	25	30	60																					dmg%		176	176	swing3		20	20	dmg-mag		20	40	dmg%		124	124																									0
Danarak's Wrap	Danarak's Divinity	xlk	Summoner's Cloak	7	30	30	lred	lred						6	5000	2	move2		20	20	red-dmg		12	12	red-mag		12	12																									ac		70	70	ac/lvl	56			skilltab	15	2	2	manasteal		6	6																									0
Horns of Power	Merlin's Legacy	dr8	Hunter's Guise	7	40	45	lyel	lyel						7	7500	2	skilltab	16	2	2	str		30	30	str/lvl	2																											ac		20	20	ac/lvl	16			oskill	Amplify Damage	1	1	crush		15	15	skill	Wearbear	3	3	skill	Maul	3	3																	0
Keeper of the Fire	Merlin's Legacy	9cr	Dimensional Blade	7	40	45	cred	cred						7	7500	2	indestruct		1	1	dmg-fire		150	300	dmg-fire/lvl	48																											hit-skill	Fire Ball	10	15	gethit-skill	Nova	10	15	swing3		30	30	att%/lvl	28			pierce-fire		25	25	dmg-fire/lvl	48																			0
Robes of Earth and Water	Merlin's Legacy	xtu	Trellised Armor	7	40	45	cblu	cblu	invrob					7	7500	2	ac%		150	150	abs-cold%		25	25	abs-fire%		25	25																									skill	Eruption	5	5	skill	Summon Grizzly	5	5	ac%		150	150	ac/lvl	12			red-dmg%		25	25	fade		1	1																	0
Sandals of the Wind	Merlin's Legacy	dbt	Dimensional Boots	7	40	45	whit	whit	invhbt					7	7500	2	move3		30	30	oskill	Slow Missiles	5	5	skill	Cyclone Armor	3	3																									regen-stam		100	100	stam		50	50	gethit-skill	Tornado	15	15	res-mag		30	30	block3		30	30	balance3		30	30																	0
Terra's Clairvoyance	Nature's Passage	drb	Blood Spirt	7	50	60	oran	oran						7	7500	2	indestruct		1	1	sock	3	3	3	dru		1	1																									ac%		100	100	ac/lvl	8			skilltab	17	2	2	ac/lvl	4			balance2		20	20	att/lvl	16																			0
Fyrre's Deception	Nature's Passage	9gm	Martel de Fer	7	50	60	cred	cred						7	7500	2	indestruct		1	1	dmg%		300	300	ease		-40	-40																									hit-skill	Firestorm	15	18	att/lvl	10			swing2		30	30	cast3		30	30	dmg%		300	300	crush		25	25																	0
Gaia's Carapace	Nature's Passage	yui	Padded Armor	7	50	60	dred	cred						7	7500	2	indestruct		1	1	red-dmg		30	30	red-mag		30	30																									ac		180	180	ac/lvl	56			regen-mana		150	150	regen		50	50	res-all		20	20	res-mag		20	20																	0
Persephone's Heel	Nature's Passage	yvb	Viper Boots	7	50	60	dpur	dpur						7	7500	2	indestruct		1	1	dmg-cold	500	50	75	dmg-fire		70	150	dmg-ltng		60	180																					move3		30	30	swing3		30	30	ac		25	25	ac/lvl	10			hp		50	50	hp/lvl	8																			0
Jaheira's Force	Jaheira's Tenacity	0sp	Thorned Club	7	60	60	oran	oran						8	10000	2	dmg%		150	150	str		25	25	skill	Wearbear	4	4	dru		1	1																					skill	Shape Shifting	3	3	skill	Maul	4	4	dmg%		150	150	dmg/lvl	16			dmg%		200	200	dru		1	1																	0
Jaheira's Volition	Jaheira's Tenacity	xow	Pavise	7	60	60	lred	lred	invtow					8	10000	2	ac%		120	120	sock	3	3	3	ease		-40	-40																									ac		20	20	ac/lvl	4			red-dmg		25	25	red-mag		25	25	block		15	15	block3		40	40																	0
Jaheira's Caress	Jaheira's Tenacity	ytg	Gladiator Bracers	7	60	60	cred	cred						8	10000	2	ease		-50	-50	regen-mana		75	75	cast2		20	20																									hp		50	50	hp/lvl	8			cast2		20	20	swing3		40	40	ac		50	50	ac/lvl	4																			0
Jaheira's Girdle	Jaheira's Tenacity	ztb	Battle Belt	7	60	60	lyel	lyel						8	10000	2	ac		25	25	sock	1	1	1	ease		-50	-50																									ac		25	25	ac/lvl	12			move2		20	20	balance2		20	20	mag%		50	50	dru		1	1																	0
Branch of the Ents	Nature's Rule	0sh	Shillelagh	7	60	75	cgrn	cgrn	invspcu					8	10000	2	dmg-demon		300	300	str		40	40	skilltab	15	2	2																									dmg%		250	250	att%		250	250	dmg%		250	250	crush		75	75																									0
Hide of the Tarrasque	Nature's Rule	yea	Viper Skin	7	60	75	blac	blac	invlea					8	10000	2	abs-cold%		25	25	abs-fire%		25	25	abs-ltng%		25	25																									ac%		250	250	move3		30	30	ac%		300	300	red-dmg%		25	25																									0
Claws of the Dragon	Nature's Rule	yhg	Titan Bracers	7	60	75	cred	cred	invxgl					8	10000	2	att-skill	Fire Ball	15	20	att-skill	Glacial Spike	15	20	att-skill	Chain Lightning	15	20																									dmg-elem-min	250	25	25	dmg-elem-max	250	50	50	dmg%		25	25	att%		250	250																									0
Mercenary Sets (ES)																																																																																													0
Rogue's Bow	Kashya's Survival Kit	sbw	Short Bow	7	6	4	lred	lred						5	5000	2	dmg/lvl	4			att/lvl	8																															deadly/lvl	8																																							0
Rogue's Suit	Kashya's Survival Kit	lea	Leather Armor	6	6	4	lred	lred						5	5000	2	ac/lvl	16																																			res-all		15	15																																					0
Rogue's Cap	Kashya's Survival Kit	skp	Skull Cap	7	6	4	lred	lred						5	5000	2	thorns		15	15																																	hp/lvl	16																																							0
Mercenary's Pike	Greiz's Desert Pride	spt	Spetum	7	12	8	oran	oran	invpik					5	5000	2	dmg/lvl	5			att/lvl	8																															wounds/lvl	8																																							0
Mercenary's Wraps	Greiz's Desert Pride	stu	Studded Leather	6	12	8	oran	oran						5	5000	2	ac/lvl	20																																			res-all		15	15																																					0
Mercenary's Shiek	Greiz's Desert Pride	cap	Cap	6	12	8	oran	oran						5	5000	2	thorns		20	20																																	hp/lvl	16																																							0
Iron Wolf's Broad Sword	Asheara's Iron Wolf Division	bsd	Broad Sword	7	18	12	cred	cred						5	5000	2	dmg/lvl	6			att/lvl	8																															wounds/lvl	8																																							0
Iron Wolf's Robes	Asheara's Iron Wolf Division	rob	Robe	6	18	12	cred	cred						5	5000	2	ac/lvl	24																																			res-all		15	15																																					0
Iron Wolf's Coif	Asheara's Iron Wolf Division	hlm	Helm	6	18	12	cred	cred						5	5000	2	thorns		25	25																																	hp/lvl	16																																							0
Iron Wolf's Guard	Asheara's Iron Wolf Division	kit	Kite Shield	6	18	12	cred	cred						5	5000	2	block		15	15																																	thorns		15	15																																					0
Barbarian's Point	Qual-Kehk's Barbaric Gear	bsw	Bastard Sword	7	24	16	cblu	cblu						5	5000	2	dmg/lvl	7			att/lvl	8																															deadly/lvl	8																																							0
Barbarian's Shelter	Qual-Kehk's Barbaric Gear	gth	Gothic Plate	7	24	16	cblu	cblu						5	5000	2	ac/lvl	28																																			res-all		15	15																																					0
Barbarian's Visage	Qual-Kehk's Barbaric Gear	ghm	Great Helm	7	24	16	cblu	cblu						5	5000	2	thorns		30	30																																	hp/lvl	16																																							0
True Mercenary Sets (ES)																																																																																													0
