skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
MaggotEgg	159			43	84																																																																								sandmaggotegg_hatch_1															46																	1	0		none												SQ	SQ	xx																										1																								1									 	"(lvl < 5) ? lvl : min(12,5+(lvl-5)/3)"	# to spawn																							1								8																																					0
ShamanFire	160				85												shafire1																																																																															shafire1													1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
MagottUp	161			44																																																																									sandmaggot_emerge														32						dirt pile	sand pile											1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
MagottDown	162			45	86																																																																								sandmaggot_burrow														33	47																	1	0		none												SQ	SQ	xx																										1																								1										10	heal%																							1								8																																					0
MagottLay	163				87																																																																																																								1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
AndrialSpray	164			46	88												andarielspray																																																																										34	48					andarielspray												1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
Jump	165			47	89																																																																																																								1	0		none												SQ	SQ	xx																										1																								1										10	damage%																							1	15	5						8																																					0
Swarm Move	166			48	90																																																																																						35	49																	1	0		none												SQ	SQ	xx																										1																								1										11	do frame	19	stop frame																					1								8																																					0
Nest	167			49	91																																																																																						36	50																	1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
Quick Strike	168			50	92												raven1																																																																																												1	0		none												SQ	SQ	xx							1																			1																								1																																		1								8																																					0
VampireFireball	169													vampirefireball																																																																																		vampirefireball													1	0		none												SQ	SQ	SC																										1																								1																																		1								8																																					0
VampireFirewall	170				24												vampirefirewallmaker	vampirefirewall																																																																										26					vampirefirewallmaker												1	0		none												SQ	SQ	SC																										1																								1																																		1																																													0
VampireMeteor	171				28												vampiremeteorcenter								ln12																																																								sorceress_meteor							fire_cast_2				28					vampiremeteorcenter												1	0		none												SQ	SQ	SC																										1																								1										ln12								5	radius of explosion	1	radius/level	30	Frames of fire	15	Frames of fire per level									1								8															fire	5	5	5	5	5	5	10	5	5	5	5	5										0
GargoyleTrap	172				93												shafire3																																																																											51					shafire3												1	0		none												SQ	SQ	xx	18																									1																								1																																		1								8																																					0
SpiderLay	173				23																	spiderlay	slowed	300		velocitypercent	-100																																																																																		1	0		none												SQ	SQ	A2																										1																								1																20	frames to apply aura to target	30	Slow Duration/Level	75	Duration/Level													1								8																																					0
VampireHeal	174																																																																																																												1	0		none												SQ	SQ	SC																										1																								1																																		1								8																																					0
VampireRaise	175																																																																																																												1	0		none												SQ	SQ	SC							1	1	1		1															1																								1																																		1								8																																					0
Submerge	176			51	94																																																																																						37	52																	1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
FetishAura	177				111																				ln12																																																				necromancer_curse_1															53					curseeffectred				3	density							1	0		none												SQ	SQ	SC																										1																								1																		10	Base stat mod	50	Duration/Level	5	Stat Mod/Level	10	Base Range ( + 2/Lvl )									1								8																																					0
FetishInferno	178			53	95												fetishinferno1																																																																											54					fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	A1																										1																								1												par1	length of fire	3	density			15	frame length															1								8																																					0
ZakarumHeal	179				96															receiving																																																																receiving				healing																					1	0		none												SQ	SQ	S1																										1																								1										15+5*lvl	min heal%	50	max heal %					15	?	30	?	5	?	0	?									1								8																																					0
Emerge	180			52																																																																																							38																		1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
Resurrect	181				97																																																																								fallenshaman_resurrect_cast											healing			39																		1	0		none												SQ	SQ	xx							1	1	1		1					1										1																								1																																		1								8																																					0
Bestow	182				96															receiving																																																																																									1	0		none												SQ	SQ	xx							1																			1																								1																																		1								8																																					0
MissileSkill1	183				110																																																																																							66																	1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
MonTeleport	184				98																																																																								sorceress_teleport											teleport																					1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
PrimeLightning	185													monsterlight																																																															mephisto_lightning_cast																			monsterlight													1	0		none												SQ	SQ	A2																										1																								1																																		1								8																																					0
PrimeBolt	186				17												chargedstrikebolt																																																												mephisto_chargedbolt_cast															23					chargedbolt												1	0		none												SQ	SQ	A1																										1																								1										lvl+2	#bolts																							1								8																																					0
PrimeBlaze	187				23												blaze					blaze		dm12																																																					monster_cast_fire																			blaze													1	0		none												SQ	SQ	A1																										1																								1																		0	?	60	duration/level	0	?	0	?									1								8																																					0
PrimeFirewall	188				24												vampirefirewallmaker	vampirefirewall																																																											monster_cast_fire															26					vampirefirewallmaker												1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?									1								8																																					0
PrimeSpike	189													monglacialspike										ln12	ln34																																																				monster_cast_cold																			monglacialspike													1	0		none												SQ	SQ	A1																										1																								1																		4	radius	0	radius per level	25	freeze frames	10	freeze frames per level									1								8																																					0
PrimeIceNova	190				22												frostnova																																																												monster_cast_cold															25					frostnova												1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?									1								8																																					0
PrimePoisonball	191				8												poisonball																																																												mephisto_orb_cast															17					poisonball												1	0		none												SQ	SQ	A1																										1																								1										3	#missiles	1	activate frame					0	?	0	?	0	?	0	?									1								8																																					0
PrimePoisonNova	192				99												primepoisoncloud																																																																											55					primepoisoncloud												1	0		none												SQ	SQ	A1																										1																								1										lvl-1	#subloops	2	skip					0	?	0	?	0	?	0	?									1								8																																					0
DiabLight	193			53	152												diablight																																																												diablo_laser_cast														40	56					diablight				0	interval							1	0		none												SQ	SQ	SC																										1																								1	1											par1	length of fire	2	density			40	frame length	0	?	0	?	0	?									1								8																																					0
DiabCold	194				100																																																																								diablo_cold_cast																																1	0		none												SQ	SQ	S2																										1																								1	1																	0	?	200	Frames	0	?	0	?									1								8															mag	15	9	9	9	9	9	25	12	12	12	12	12		100	50	50	50					0
DiabFire	195				22												diabfire																																																												diablo_fire_cast															25					diabfire												1	0		none												SQ	SQ	S1																										1																								1	1																	0	?	0	?	0	?	0	?									1								8																																					0
FingerMageSpider	196				101												fingermagespider						fingermagecurse	ln12		manarecovery	-par3*lvl																																																		fingermage_bolt_cast_1															57					fingermagespider												1	0		none												SQ	SQ	S1																										1																								1										lvl-1	#subloops							30	base frames	10	frames per level	24	unshifted damage per frame	0	?									1								8																																					0
DiabWall	197				102												diabwallmaker																																																												diablo_fire_cast															58					diabwallmaker												1	0		none												SQ	SQ	S1																										1																								1	1									lvl	#missiles							0	?	0	?	0	?	0	?									1								8																																					0
DiabRun	198			54	103																																																																								diablo_run														41	59																	1	0		none												SQ	SQ	xx	22																									1																								1	1									20	velocity							8	stop anim len	14	stop anim frame	5	start frame	13	repeat on frame	16	repeat len	6	repeat back frame					1				5				8		17	9	9	9	9	9	33	9	9	9	9	9																								0
DiabPrison	199				104																																																							boneprison1	none																diablo_boneprison_rise																																1	0		none												SQ	SQ	S3																										1																								1	1																	0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
PoisonBallTrap	200													trap poison ball left																																																																																		trap poison ball left													1	0		none												SC	SC	S1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		10	10	10	10	10	10	20	10	10	10	10	10																								0
AndyPoisonBolt	201													andypoisonbolt																																																																																		andypoisonbolt													1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
HireableMissile	202				110																																																																																							66																	1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
DesertTurret	203				105												desertfireball																																																																											60					desertfireball												1	0		none												SQ	SQ	xx	26																									1																								1										3	#missiles							0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
ArcaneTower	204				106												lightningtowernova																																																												lightningorb_attack_1															61					lightningtowernova												1	0		none												SQ	SQ	xx	27																									1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
MonBlizzard	205				28												monblizcenter																																																												monster_cast_cold											ice_cast_2				28					monblizcenter												1	3		none												SQ	SQ	S1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Mosquito	206			55	107																																																																																						42	62																	1	0		none												SQ	SQ	xx	34																									1																								1										4	min loops	7	max loops	25	heal pct			12	reset loop frame	0	?	0	?	0	?	0	?	0	?					1								8		2	2	2	2	2	2	4	2	2	2	2	2			2	3	3	3	3	3	4	3	3	3	3	3		200								0
CursedBallTrapRight	207													trap cursed skull right																																																																																		trap cursed skull right													1	0		none												SC	SC	S2																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0
CursedBallTrapLeft	208													trap cursed skull left																																																																																		trap cursed skull left													1	0		none												SC	SC	S2																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0
MonFrozenArmor	209				18																	frozenarmor		ln34		skill_armor_percent	ln12																																																		monster_cast_cold				sorceress_frozenarmor							ice_cast_3																					1	0		none												SQ	SQ	SC																										1																								1																		30	% AC base	5	% AC per level	3600	Duration	300	Duration per level	30	Freeze Frames	3	Freeze Frames per level					1								8																																		1			0
MonBoneArmor	210				18																	bonearmor				bonearmor	ln12*256	bonearmormax	ln12*256																																																necromancer_bonearmor																																1	0		none												SQ	SQ	S1																										1																								1																		20	damage absorbed	10	additional absorbed/level	0	?	0	?	0	?	0	?					1								8																																					0
MonBoneSpirit	211				10												monbonespirit	monbonespirit																																																											monster_cast_fire															18					monbonespirit	monbonespirit											1	0		none												SQ	SQ	S1																										1																								1																		15	Search range	0	?	0	?	0	?	0	?	0	?					1								8																																					0
MonCurseCast	212				112																			ln34	ln12																																																																		18	30					curseeffectred		cursecast										1	5		none												SQ	SQ	S2																										1																								1																		3	radius	1	radius per level	300	duration	60	additional duration/level	25	min % resist lower	70	max % resist lower	-50	speed			1								8																																					0
HellMeteor	213				28												hellmeteordown																																																																										44																		1	4		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
RegurgitatorEat	214				108																																																																								regurgitator_eat_1															63					corpseexplosion	bigblood1											1	2		none												SQ	SQ	S1									1		1															1																								1										33	heal% of target hp							0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
MonFrenzy	215			64	109																	monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																																																														1	3		none												SQ	SQ	A2				1		1	1																			1																								1																		200	duration	25	duration/level	30	min % speed increase	110	max % speed increase	0	?	0	?					1	10	10						8	128																																				0
QueenDeath	216																																																																																											64																	1	0		none												SQ	SQ	xx	41																									1																																										0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Scroll of Identify	217		scroll of identify		113																																																																																																									0		none												SC	SC	xx																										1									1							5									1								1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Book of Identify	218		book of identify		113																																																																																																									0		none												SC	SC	xx																										1									1							5									1								1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Scroll of Townportal	219		scroll of townportal		113																																																																																																									0		none												SC	SC	xx																										1									1							5																	1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Book of Townportal	220		book of townportal		113																																																																																																									0		none												SC	SC	xx																										1									1							5																	1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Raven	221	dru	raven		114																	drusumm				passive_summon_resist	(skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Plague Poppy'.par8)	item_armor_percent	(skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Spirit Wolf'.par8)	hpregen	(skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Cycle of Life'.par8)	damageresist	(skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Fenris'.par8)	item_slow	(skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Vines'.par8)	damagepercent	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Grizzly'.par8)																							druidhawk	raven	"min(lvl,par2+(skill('Summon Spirit Wolf'.blvl)/5+skill('Summon Fenris'.blvl)/5+skill('Summon Grizzly'.blvl)/5))"	S1														druid_summon																																1	0		none												SC	SC	xx				1	4																					1	40								1											1	7	12	1	1	1									(lvl-1)*par2	hp adj	ulvl + par1 + lvl	raven lvl					-1	monster level = your level + this + SkillLevel	8	Max ravens	0	?	0	?	12	Attacks	2	Attacks per level	14	damage synergy	8	pet attack rating synergy	1			100+lvl*15+(skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*par7					8		2	2	4	6	8	10	4	2	4	6	8	10																								500
Plague Poppy	222	dru	plague poppy		115																	vine_beast				passive_summon_resist	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Plague Poppy'.par8)	item_armor_percent	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Spirit Wolf'.par8)	hpregen	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Cycle of Life'.par8)	damageresist	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Fenris'.par8)	item_slow	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Vines'.par8)	damagepercent	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Grizzly'.par8)																							plaguepoppy	plaguevine	1+(skill('Cycle of Life'.blvl)/10+skill('Vines'.blvl)/10)	S1	Vine Attack	lvl												druid_summon																																1	0		none												SC	SC	xx				1	4																					1	40								1											1	6	32	-1	1	1									par3 * (lvl-1)	hp %	ulvl * 9 / 10 + lvl	vine lvl					3	Number of vines	1	vines per level	20	% more hitpoints per level	0	?	0	?	0	?	120	damage synergy	1	pet resist all synergy	1								1															pois	26	26	39	52	78	104	51	26	39	52	78	104	(skill('Cycle of Life'.blvl)+skill('Vines'.blvl))*par7/16	150								500
Wearwolf	223	dru	wearwolf		116																	wolf		1000+skill('Shape Shifting'.ln12)		skill_staminapercent	par1	attackrate	dm34	item_tohit_percent	toht	item_maxhp_percent	par2+skill('Shape Shifting'.ln34)	velocitypercent	dm34																																																						wolf_into	wolf_undo	45																		1	0		none												SC	SC	xx	22			1													1									1	40								1				25				1			1	8	15	0		1																	50	% stamina increase	50	% hitpoints increase	1	% min speed increase	90	% max speed increase	0	?	0	?					1	50	15						8																																					500
Wearbear	224	dru	wearbear		116																	bear		1000+skill('Shape Shifting'.ln12)		damagepercent	ln12	skill_armor_percent	ln34	item_maxhp_percent	par5 + skill('Shape Shifting'.ln34)																																																										bear_into	bear_undo	45																		1	0		none												SC	SC	xx	22			1																						1	40								1				25				1			1	8	15	0		1																	100	% Base bonus damage	25	% bonus damage per level	60	% increase armorclass	15	% armor class per level	100	% Base bonus hitpoints							1								8																																					500
Arctic Blast	225	dru	arctic blast	11	19												arcticblast1								ln12/4-2																																																													arctic_blast_cast	druid_windcast				15	24					arcticblast1	arcticblast2											1	0		none												SQ	SQ	xx	18	10																								1	40													1	1				6	0	4	6	1	1										ln12/2	range	20	frames if monster					35	base ranged (doubled)	2	level range (doubled)	4	Min Mana to start casting							5	duration synergy	120	damage synergy	1								2															cold	32	16	32	48	64	64	64	16	32	48	64	80	(skill('Cyclone Armor'.blvl)+skill('Hurricane'.blvl))*par8/16	100	15	15	15	(skill('Cyclone Armor'.blvl)+skill('Hurricane'.blvl))*par7				500
Cyclone Armor	226	dru	cyclone armor		18																	cyclonearmor				bonearmor	(ln12*(100+(skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8)/100)*256	bonearmormax	(ln12*(100+(skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8)/100)*256									absorbdamage	25																																						druid_cyclonearmor																																1	0		none												SC	SC	xx				1																						1	40								1											1	8	5	1	1	1																	20	damage absorbed	10	additional absorbed/level											5	absorb synergy	1								8																																		1			500
Shape Shifting	227	dru	shape shifting																																																																																																										1	0		none												SC	SC	xx				1																						8	35																			0	8	0	0	1						1												1000	Base duration of all forms	500	Bonus duration per level	20	% base hitpoint bonus	5	% hitpoints per level	0	?	0	?					8								8																																					500
Oak Sage	228	dru	oak sage		119																																											poisonresist	100	maxpoisonresist	100									oaksage	totem	1	NU	Oak Sage Aura	lvl												druid_summon																																1	0		none												SC	SC	xx				1	4																					8	20								1											1	8	15	1	1	1									(lvl-1)*par1	hp adj	ulvl	totem lvl					30	% hitpoints more per level	5	% hitpoint bonus per level	250	duration of aura	0	?	0	?	0	?	30	radius	2	radius/lvl	8								8																																					500
Summon Spirit Wolf	229	dru	summon spirit wolf		119																	drusumm				passive_summon_resist	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Plague Poppy'.par8)	item_armor_percent	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Spirit Wolf'.par8)	hpregen	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Cycle of Life'.par8)	damageresist	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Fenris'.par8)	item_slow	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Vines'.par8)	damagepercent	(skill('Raven'.blvl)+skill('Plague Poppy'.blvl)+skill('Summon Spirit Wolf'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Summon Grizzly'.par8)											item_armor_percent	(par4 * lvl) + ln56	tohit	ln12	damagepercent	skill('Summon Grizzly'.ln12)							spiritwolf	spiritwolf	"min(lvl,par3+skill('Raven'.blvl)/4)"	S1														druid_summon																																1	0		none												SC	SC	xx				1	4												1									8	35					Raven			1											1	8	15	1	1	1									skill('Summon Fenris'.ln12)	hp %	ulvl	pet lvl					50	% feral add to attack	25	% feral attack per level	5	max wolves	7	defense points per level	50	% defense bonus	10	% defense bonus per level	12	damage synergy	15	pet defense% synergy	8			75+lvl*25+(skill('Plague Poppy'.blvl)+skill('Raven'.blvl)+skill('Cycle of Life'.blvl)+skill('Summon Fenris'.blvl)+skill('Vines'.blvl)+skill('Summon Grizzly'.blvl))*skill('Raven'.par7)					8		6	3	6	9	12	15	12	3	6	9	12	15	(skill('Raven'.blvl)+skill('Summon Fenris'.blvl)+skill('Summon Grizzly'.blvl))*par7*4/3																							500
Volcano	230	dru	volcano		123												volcano								par1+skill('Firestorm'.blvl)/2																																																				druid_firecast_a											druid_fire_cast_2					91				volcano overlay fire	volcano											1	0		none												SC	SC	xx				1	4				1								1						sorceress_cast_fire	druid_fire_cast_2		8	35								1				50							1	6	50	1	1																par2-skill('Eruption'.blvl)/4	damage delay	12	debris range	6	delay between debris									240	damage synergy	120	fire damage synergy	8								8		8	2	4	6	8	10	10	2	4	6	8	10	skill('Molten Boulder'.blvl)*par7/16	fire	8	2	4	6	8	10	10	2	4	6	8	10	(skill('Eruption'.blvl)+skill('Firestorm'.blvl))*par8/16									500
Hurricane	231	dru	hurricane		124																42883	hurricane		ln12 + skill('Cyclone Armor'.blvl) * par7	par3																																																				druid_windcast										druid_hurricane										hurricaneswoosh	hurricanerock	hurricanetree		3	debris/frame	75	height					1	0		none												SC	SC	xx				1																						8	35					Arctic Blast														1	6	60	1	1																		750	base duration	250	duration per level	24	radius	1	frames per hit search					25	duration synergy	120	damage synergy	8				1	2																		cold	15	6	9	12	18	24	20	6	9	12	18	24	(skill('Arctic Blast'.blvl)+skill('Tornado'.blvl))*par8/16	25	25	25	25	(skill('Arctic Blast'.blvl)*par7				500
Molten Boulder	232	dru	molten boulder											moltenboulderemerge											par1																																																				druid_firecast_b											druid_fire_cast_1								moltenboulderemerge													1	0		none												SC	SC	xx				1													1						druid_firecast_b	druid_fire_cast_1		16	30					Cyclone Armor			1				25	1						1	7	15	1	1																		7	Explosion Radius											240	phys damage synergy	240	fire damage synergy	16								7		20	20	30	40	50	60	30	20	30	40	50	60	skill('Volcano'.blvl)*par7/16	fire	20	20	30	40	50	60	30	20	30	40	50	60	skill('Firestorm'.blvl)*par8/16									500
